2.1330e-03 5.2580e-07 4.5770e-07 6.0410e-07
2.4260e-03 5.1090e-07 4.4500e-07 5.8660e-07
2.7590e-03 4.9400e-07 4.3060e-07 5.6680e-07
3.1370e-03 4.7590e-07 4.1510e-07 5.4570e-07
3.5680e-03 4.5730e-07 3.9910e-07 5.2390e-07
4.0580e-03 4.3890e-07 3.8340e-07 5.0260e-07
4.6150e-03 4.2180e-07 3.6860e-07 4.8260e-07
5.2480e-03 4.0670e-07 3.5570e-07 4.6500e-07
5.9680e-03 3.9460e-07 3.4530e-07 4.5080e-07
6.7870e-03 3.8630e-07 3.3840e-07 4.4110e-07
7.7190e-03 3.8310e-07 3.3580e-07 4.3700e-07
8.7790e-03 3.8590e-07 3.3860e-07 4.3980e-07
9.9840e-03 3.9620e-07 3.4810e-07 4.5100e-07
1.1350e-02 4.1590e-07 3.6600e-07 4.7260e-07
1.2910e-02 4.4710e-07 3.9430e-07 5.0700e-07
1.4690e-02 4.9290e-07 4.3600e-07 5.5730e-07
1.6700e-02 5.5730e-07 4.9470e-07 6.2770e-07
1.8990e-02 6.4500e-07 5.7530e-07 7.2310e-07
2.1600e-02 7.6190e-07 6.8350e-07 8.4930e-07
2.4570e-02 9.1450e-07 8.2600e-07 1.0120e-06
2.7940e-02 1.1090e-06 1.0090e-06 1.2180e-06
3.1770e-02 1.3480e-06 1.2380e-06 1.4680e-06
3.6130e-02 1.6330e-06 1.5140e-06 1.7610e-06
4.1090e-02 1.9560e-06 1.8320e-06 2.0890e-06
4.6730e-02 2.3040e-06 2.1780e-06 2.4360e-06
5.3150e-02 2.6540e-06 2.5330e-06 2.7810e-06
6.0440e-02 2.9830e-06 2.8710e-06 3.1000e-06
6.8740e-02 3.2700e-06 3.1690e-06 3.3740e-06
7.8170e-02 3.4990e-06 3.4100e-06 3.5910e-06
8.8910e-02 3.6310e-06 3.5520e-06 3.7120e-06
1.0110e-01 3.6610e-06 3.5900e-06 3.7330e-06
1.1500e-01 3.6120e-06 3.5480e-06 3.6780e-06
1.3080e-01 3.5160e-06 3.4560e-06 3.5760e-06
1.4870e-01 3.4010e-06 3.3470e-06 3.4560e-06
1.6910e-01 3.2910e-06 3.2420e-06 3.3420e-06
1.9240e-01 3.2020e-06 3.1550e-06 3.2490e-06
2.1880e-01 3.1360e-06 3.0920e-06 3.1810e-06
2.4880e-01 3.0920e-06 3.0500e-06 3.1350e-06
2.8290e-01 3.0640e-06 3.0220e-06 3.1060e-06
3.2180e-01 3.0430e-06 3.0020e-06 3.0840e-06
3.6590e-01 3.0220e-06 2.9830e-06 3.0620e-06
4.1620e-01 2.9960e-06 2.9580e-06 3.0350e-06
4.7330e-01 2.9630e-06 2.9260e-06 3.0010e-06
5.3820e-01 2.9260e-06 2.8890e-06 2.9630e-06
6.1210e-01 2.8860e-06 2.8510e-06 2.9220e-06
6.9620e-01 2.8490e-06 2.8140e-06 2.8850e-06
7.9170e-01 2.8200e-06 2.7850e-06 2.8550e-06
9.0040e-01 2.7990e-06 2.7640e-06 2.8340e-06
1.0240e+00 2.7860e-06 2.7510e-06 2.8210e-06
1.1650e+00 2.7740e-06 2.7390e-06 2.8100e-06
1.3240e+00 2.7570e-06 2.7210e-06 2.7930e-06
1.5060e+00 2.7230e-06 2.6870e-06 2.7590e-06
1.7130e+00 2.6670e-06 2.6310e-06 2.7030e-06
1.9480e+00 2.5820e-06 2.5470e-06 2.6180e-06
2.2150e+00 2.4690e-06 2.4340e-06 2.5040e-06
2.5190e+00 2.3270e-06 2.2930e-06 2.3610e-06
2.8650e+00 2.1670e-06 2.1340e-06 2.2010e-06
3.2590e+00 2.0040e-06 1.9710e-06 2.0380e-06
3.7060e+00 1.8470e-06 1.8150e-06 1.8810e-06
4.2150e+00 1.7050e-06 1.6720e-06 1.7370e-06
4.7930e+00 1.5810e-06 1.5490e-06 1.6140e-06
5.4510e+00 1.4800e-06 1.4480e-06 1.5120e-06
6.1990e+00 1.4030e-06 1.3710e-06 1.4360e-06
7.0500e+00 1.3360e-06 1.3020e-06 1.3710e-06
8.0180e+00 1.2750e-06 1.2370e-06 1.3150e-06
9.1180e+00 1.2180e-06 1.1740e-06 1.2640e-06
9.8160e+00 1.1870e-06 1.1390e-06 1.2360e-06
