2.132999999999999913e-03 9.983146067415730470e-09
2.426000000000000205e-03 9.198876404494382122e-09
2.759000000000000168e-03 8.478651685393258453e-09
3.137000000000000031e-03 7.821348314606741921e-09
3.567999999999999991e-03 7.228089887640450069e-09
4.057999999999999975e-03 6.693258426966291880e-09
4.615000000000000178e-03 6.213483146067416385e-09
5.248000000000000061e-03 5.783146067415730911e-09
5.968000000000000214e-03 5.401123595505617919e-09
6.786999999999999630e-03 5.060674157303370505e-09
7.719000000000000167e-03 4.760674157303371127e-09
8.779000000000000345e-03 4.494382022471909574e-09
9.983999999999999819e-03 4.262921348314606696e-09
1.135000000000000071e-02 4.064044943820224928e-09
1.290999999999999960e-02 3.897752808988764271e-09
1.468999999999999993e-02 3.764044943820224724e-09
1.669999999999999957e-02 3.661797752808989159e-09
1.898999999999999994e-02 3.596629213483146111e-09
2.160000000000000114e-02 3.567415730337078452e-09
2.457000000000000156e-02 3.576404494382022506e-09
2.793999999999999956e-02 3.626966292134831725e-09
3.176999999999999963e-02 3.720224719101123649e-09
3.613000000000000239e-02 3.856179775280898693e-09
4.109000000000000152e-02 4.037078651685393180e-09
4.673000000000000070e-02 4.256179775280898966e-09
5.315000000000000280e-02 4.510112359550561772e-09
6.044000000000000067e-02 4.786516853932583680e-09
6.873999999999999555e-02 5.073033707865168424e-09
7.817000000000000337e-02 5.347191011235955249e-09
8.891000000000000292e-02 5.591011235955056047e-09
1.010999999999999954e-01 5.778651685393258264e-09
1.150000000000000050e-01 5.891011235955056251e-09
1.307999999999999996e-01 5.921348314606741452e-09
1.486999999999999988e-01 5.860674157303371051e-09
1.691000000000000003e-01 5.716853932584269495e-09
1.923999999999999877e-01 5.505617977528089808e-09
2.187999999999999945e-01 5.238202247191010713e-09
2.487999999999999934e-01 4.938202247191011336e-09
2.828999999999999848e-01 4.621348314606741391e-09
3.217999999999999750e-01 4.306741573033708184e-09
3.659000000000000030e-01 4.007865168539326348e-09
4.162000000000000144e-01 3.735955056179775433e-09
4.732999999999999985e-01 3.492134831460674222e-09
5.382000000000000117e-01 3.279775280898876580e-09
6.120999999999999774e-01 3.097752808988764138e-09
6.962000000000000410e-01 2.942696629213483031e-09
7.916999999999999593e-01 2.808988764044943898e-09
9.003999999999999782e-01 2.689887640449438180e-09
1.024000000000000021e+00 2.569662921348314507e-09
1.165000000000000036e+00 2.441573033707865148e-09
1.324000000000000066e+00 2.295505617977528096e-09
1.506000000000000005e+00 2.130337078651685393e-09
1.713000000000000078e+00 1.941573033707865221e-09
1.947999999999999954e+00 1.729213483146067372e-09
2.214999999999999858e+00 1.502247191011236107e-09
2.519000000000000128e+00 1.271910112359550563e-09
2.865000000000000213e+00 1.052584269662921310e-09
3.258999999999999897e+00 8.565168539325843267e-10
3.705999999999999961e+00 6.886516853932584700e-10
4.214999999999999858e+00 5.516853932584269979e-10
4.793000000000000149e+00 4.439325842696629259e-10
5.450999999999999623e+00 3.623595505617977446e-10
6.198999999999999844e+00 3.037078651685393221e-10
7.049999999999999822e+00 2.544943820224719392e-10
8.018000000000000682e+00 2.142696629213483261e-10
9.118000000000000327e+00 1.817977528089887683e-10
9.816000000000000725e+00 1.661797752808988724e-10
