   701.839 0.941E-230.120   605.366      V21   GROUND    31 2     10   0.50 221 28
   701.839 0.941E-230.120   605.366      V21   GROUND    31 2      9   0.50 221 28
   701.854 0.676E-230.120   664.521      V21   GROUND    40 1     22   0.50 221 28
   701.854 0.676E-230.120   664.521      V21   GROUND    40 1     23   0.50 221 28
   701.980 0.903E-230.120   609.580      V21   GROUND    33 2     12   0.50 221 28
   701.980 0.903E-230.120   609.580      V21   GROUND    33 2     13   0.50 221 28
   702.004 0.378E-230.120   789.282      V21   GROUND    49 1     35   0.50 221 28
   702.004 0.378E-230.120   789.282      V21   GROUND    49 1     36   0.50 221 28
   702.021 0.613E-230.120   683.868      V21   GROUND    42 1     25   0.50 221 28
   702.021 0.613E-230.120   683.868      V21   GROUND    42 1     26   0.50 221 28
   702.128 0.857E-230.120   617.302      V21   GROUND    35 2     15   0.50 221 28
   702.128 0.857E-230.120   617.302      V21   GROUND    35 2     16   0.50 221 28
   702.148 0.105E-220.120   593.106      V21   GROUND    26 2      2   0.50 221 28
   702.148 0.105E-220.120   593.106      V21   GROUND    26 2      3   0.50 221 28
   702.198 0.550E-230.120   706.760      V21   GROUND    44 1     28   0.50 221 28
   702.198 0.550E-230.120   706.760      V21   GROUND    44 1     29   0.50 221 28
   702.282 0.103E-220.120   589.252      V21   GROUND    28 2      5   0.50 221 28
   702.282 0.103E-220.120   589.252      V21   GROUND    28 2      6   0.50 221 28
   702.282 0.802E-230.120   628.537      V21   GROUND    37 1     18   0.50 221 28
   702.282 0.802E-230.120   628.537      V21   GROUND    37 1     19   0.50 221 28
   702.387 0.483E-230.120   733.216      V21   GROUND    46 1     31   0.50 221 28
   702.387 0.483E-230.120   733.216      V21   GROUND    46 1     32   0.50 221 28
   702.418 0.101E-220.120   588.904      V21   GROUND    30 2      8   0.50 221 28
   702.418 0.101E-220.120   588.904      V21   GROUND    30 2      9   0.50 221 28
   702.443 0.739E-230.120   643.293      V21   GROUND    39 1     21   0.50 221 28
   702.443 0.739E-230.120   643.293      V21   GROUND    39 1     22   0.50 221 28
   702.561 0.974E-230.120   592.059      V21   GROUND    32 2     11   0.50 221 28
   702.561 0.974E-230.120   592.059      V21   GROUND    32 2     12   0.50 221 28
   702.594 0.424E-230.120   763.262      V21   GROUND    48 1     34   0.50 221 28
   702.594 0.424E-230.120   763.262      V21   GROUND    48 1     35   0.50 221 28
   702.612 0.676E-230.120   661.580      V21   GROUND    41 1     24   0.50 221 28
   702.612 0.676E-230.120   661.580      V21   GROUND    41 1     25   0.50 221 28
   702.711 0.928E-230.120   598.722      V21   GROUND    34 2     14   0.50 221 28
   702.711 0.928E-230.120   598.722      V21   GROUND    34 2     15   0.50 221 28
   702.724 0.112E-220.120   579.286      V21   GROUND    25 2      1   0.50 221 28
   702.724 0.112E-220.120   579.286      V21   GROUND    25 2      2   0.50 221 28
   702.789 0.609E-230.120   683.409      V21   GROUND    43 1     27   0.50 221 28
   702.789 0.609E-230.120   683.409      V21   GROUND    43 1     28   0.50 221 28
   702.830 0.364E-230.120   796.939      V21   GROUND    50 1     37   0.50 221 28
   702.830 0.364E-230.120   796.939      V21   GROUND    50 1     38   0.50 221 28
   702.856 0.111E-220.120   574.379      V21   GROUND    27 2      4   0.50 221 28
   702.856 0.111E-220.120   574.379      V21   GROUND    27 2      5   0.50 221 28
   702.867 0.874E-230.120   608.899      V21   GROUND    36 1     17   0.50 221 28
   702.867 0.874E-230.120   608.899      V21   GROUND    36 1     18   0.50 221 28
   702.978 0.538E-230.120   708.798      V21   GROUND    45 1     30   0.50 221 28
   702.978 0.538E-230.120   708.798      V21   GROUND    45 1     31   0.50 221 28
   702.995 0.109E-220.120   572.971      V21   GROUND    29 2      7   0.50 221 28
   702.995 0.109E-220.120   572.971      V21   GROUND    29 2      8   0.50 221 28
   703.031 0.811E-230.120   622.596      V21   GROUND    38 1     20   0.50 221 28
   703.031 0.811E-230.120   622.596      V21   GROUND    38 1     21   0.50 221 28
   703.140 0.105E-220.120   575.068      V21   GROUND    31 2     10   0.50 221 28
   703.140 0.105E-220.120   575.068      V21   GROUND    31 2     11   0.50 221 28
   703.184 0.470E-230.120   737.772      V21   GROUND    47 1     33   0.50 221 28
   703.184 0.470E-230.120   737.772      V21   GROUND    47 1     34   0.50 221 28
   703.200 0.739E-230.120   639.821      V21   GROUND    40 1     23   0.50 221 28
   703.200 0.739E-230.120   639.821      V21   GROUND    40 1     24   0.50 221 28
   703.293 0.100E-220.120   580.673      V21   GROUND    33 2     13   0.50 221 28
   703.293 0.100E-220.120   580.673      V21   GROUND    33 2     14   0.50 221 28
   703.294 0.119E-220.120   566.002      V21   GROUND    24 2      0   0.50 221 28
   703.294 0.119E-220.120   566.002      V21   GROUND    24 2      1   0.50 221 28
   703.379 0.668E-230.120   660.587      V21   GROUND    42 1     26   0.50 221 28
   703.379 0.668E-230.120   660.587      V21   GROUND    42 1     27   0.50 221 28
   703.417 0.407E-230.120   770.370      V21   GROUND    49 1     36   0.50 221 28
   703.417 0.407E-230.120   770.370      V21   GROUND    49 1     37   0.50 221 28
   703.428 0.118E-220.120   560.035      V21   GROUND    26 2      3   0.50 221 28
   703.428 0.118E-220.120   560.035      V21   GROUND    26 2      4   0.50 221 28
   703.452 0.949E-230.120   589.790      V21   GROUND    35 1     16   0.50 221 28
   703.452 0.949E-230.120   589.790      V21   GROUND    35 1     17   0.50 221 28
   703.569 0.596E-230.120   684.910      V21   GROUND    44 1     29   0.50 221 28
   703.569 0.596E-230.120   684.910      V21   GROUND    44 1     30   0.50 221 28
   703.570 0.116E-220.120   557.569      V21   GROUND    28 2      6   0.50 221 28
   703.570 0.116E-220.120   557.569      V21   GROUND    28 2      7   0.50 221 28
   703.617 0.882E-230.120   602.427      V21   GROUND    37 1     19   0.50 221 28
   703.617 0.882E-230.120   602.427      V21   GROUND    37 1     20   0.50 221 28
   703.719 0.113E-220.120   558.607      V21   GROUND    30 2     10   0.50 221 28
   703.719 0.113E-220.120   558.607      V21   GROUND    30 2      9   0.50 221 28
   703.774 0.525E-230.120   712.814      V21   GROUND    46 1     32   0.50 221 28
   703.774 0.525E-230.120   712.814      V21   GROUND    46 1     33   0.50 221 28
   703.788 0.811E-230.120   618.592      V21   GROUND    39 1     22   0.50 221 28
   703.788 0.811E-230.120   618.592      V21   GROUND    39 1     23   0.50 221 28
   703.873 0.108E-220.120   563.153      V21   GROUND    32 2     12   0.50 221 28
   703.873 0.108E-220.120   563.153      V21   GROUND    32 2     13   0.50 221 28
   703.968 0.735E-230.120   638.295      V21   GROUND    41 1     25   0.50 221 28
   703.968 0.735E-230.120   638.295      V21   GROUND    41 1     26   0.50 221 28
   704.000 0.126E-220.120   546.222      V21   GROUND    25 2      2   0.50 221 28
   704.000 0.126E-220.120   546.222      V21   GROUND    25 2      3   0.50 221 28
   704.003 0.454E-230.120   744.334      V21   GROUND    48 1     36   0.50 221 28
   704.003 0.454E-230.120   744.334      V21   GROUND    48 1     35   0.50 221 28
   704.034 0.103E-220.120   571.212      V21   GROUND    34 1     15   0.50 221 28
   704.034 0.103E-220.120   571.212      V21   GROUND    34 1     16   0.50 221 28
   704.144 0.125E-220.120   542.697      V21   GROUND    27 2      5   0.50 221 28
   704.144 0.125E-220.120   542.697      V21   GROUND    27 2      6   0.50 221 28
   704.158 0.659E-230.120   661.552      V21   GROUND    43 1     28   0.50 221 28
   704.158 0.659E-230.120   661.552      V21   GROUND    43 1     29   0.50 221 28
   704.201 0.962E-230.120   582.789      V21   GROUND    36 1     18   0.50 221 28
   704.201 0.962E-230.120   582.789      V21   GROUND    36 1     19   0.50 221 28
   704.274 0.391E-230.120   779.525      V21   GROUND    50 1     39   0.50 221 28
   704.275 0.391E-230.120   779.526      V21   GROUND    50 1     38   0.50 221 28
   704.295 0.121E-220.120   542.676      V21   GROUND    29 2      8   0.50 221 28
   704.295 0.121E-220.120   542.676      V21   GROUND    29 2      9   0.50 221 28
   704.363 0.580E-230.120   688.386      V21   GROUND    45 1     31   0.50 221 28
   704.363 0.580E-230.120   688.386      V21   GROUND    45 1     32   0.50 221 28
   704.375 0.886E-230.120   597.892      V21   GROUND    38 1     21   0.50 221 28
   704.375 0.886E-230.120   597.892      V21   GROUND    38 1     22   0.50 221 28
   704.452 0.117E-220.120   546.163      V21   GROUND    31 2     11   0.50 221 28
   704.452 0.117E-220.120   546.163      V21   GROUND    31 2     12   0.50 221 28
   704.556 0.806E-230.120   616.533      V21   GROUND    40 1     24   0.50 221 28
   704.556 0.806E-230.120   616.533      V21   GROUND    40 1     25   0.50 221 28
   704.569 0.134E-220.120   532.940      V21   GROUND    24 2      1   0.50 221 28
   704.569 0.134E-220.120   532.940      V21   GROUND    24 2      2   0.50 221 28
   704.590 0.508E-230.120   718.829      V21   GROUND    47 1     34   0.50 221 28
   704.590 0.508E-230.120   718.829      V21   GROUND    47 1     35   0.50 221 28
   704.616 0.111E-220.120   553.162      V21   GROUND    33 1     14   0.50 221 28
   704.616 0.111E-220.120   553.162      V21   GROUND    33 1     15   0.50 221 28
   704.716 0.133E-220.120   528.355      V21   GROUND    26 2      4   0.50 221 28
   704.716 0.133E-220.120   528.355      V21   GROUND    26 2      5   0.50 221 28
   704.747 0.727E-230.120   638.724      V21   GROUND    42 1     27   0.50 221 28
