Wavenumber	NESR 0.53 cm-1
566.48157	3.82102E-07
566.61987	3.78075E-07
566.75818	3.71821E-07
566.89648	3.63875E-07
567.03479	3.54793E-07
567.17310	3.45070E-07
567.31140	3.35096E-07
567.44965	3.25147E-07
567.58795	3.15404E-07
567.72626	3.05975E-07
567.86456	2.96914E-07
568.00287	2.88243E-07
568.14117	2.79964E-07
568.27948	2.72065E-07
568.41779	2.64528E-07
568.55609	2.57334E-07
568.69440	2.50460E-07
568.83270	2.43888E-07
568.97101	2.37595E-07
569.10931	2.31566E-07
569.24762	2.25782E-07
569.38586	2.20230E-07
569.52417	2.14893E-07
569.66248	2.09759E-07
569.80078	2.04818E-07
569.93909	2.00057E-07
570.07739	1.95467E-07
570.21570	1.91037E-07
570.35400	1.86761E-07
570.49231	1.82630E-07
570.63062	1.78637E-07
570.76892	1.74775E-07
570.90723	1.71037E-07
571.04553	1.67418E-07
571.18378	1.63913E-07
571.32208	1.60517E-07
571.46039	1.57224E-07
571.59869	1.54030E-07
571.73700	1.50933E-07
571.87531	1.47926E-07
572.01361	1.45008E-07
572.15192	1.42173E-07
572.29022	1.39420E-07
572.42853	1.36746E-07
572.56683	1.34146E-07
572.70514	1.31619E-07
572.84345	1.29163E-07
572.98175	1.26774E-07
573.12000	1.24450E-07
573.25830	1.22189E-07
573.39661	1.19990E-07
573.53491	1.17849E-07
573.67322	1.15766E-07
573.81152	1.13738E-07
573.94983	1.11764E-07
574.08814	1.09842E-07
574.22644	1.07970E-07
574.36475	1.06147E-07
574.50305	1.04371E-07
574.64136	1.02641E-07
574.77966	1.00956E-07
574.91797	9.93142E-08
575.05621	9.77142E-08
575.19452	9.61549E-08
575.33283	9.46350E-08
575.47113	9.31535E-08
575.60944	9.17093E-08
575.74774	9.03013E-08
575.88605	8.89283E-08
576.02435	8.75896E-08
576.16266	8.62840E-08
576.30096	8.50106E-08
576.43927	8.37684E-08
576.57758	8.25566E-08
576.71588	8.13744E-08
576.85413	8.02207E-08
576.99243	7.90950E-08
577.13074	7.79963E-08
577.26904	7.69240E-08
577.40735	7.58772E-08
577.54565	7.48552E-08
577.68396	7.38573E-08
577.82227	7.28828E-08
577.96057	7.19311E-08
578.09888	7.10014E-08
578.23718	7.00932E-08
578.37549	6.92059E-08
