  1010.089 0.166E-260.049  1977.215                        19          0.63 211  6       0.000E+00.0594-.001554000 0 0 0
  1010.095 0.417E-260.051  2167.964                        12          0.65 211  6       0.000E+00.0676-.001554000 0 0 0
  1010.108 0.185E-260.028  1977.198                        19          0.63 211  6       0.000E+00.0594-.001554000 0 0 0
  1010.266 0.149E-260.053  2112.145                        10          0.67 211  6       0.000E+00.0729-.001554000 0 0 0
  1010.717 0.710E-260.055  3104.764                        24          0.61 211  6       0.000E+00.0560-.001555000 0 0 0
  1010.729 0.581E-260.049  1976.575                        19          0.63 211  6       0.000E+00.0594-.001555000 0 0 0
  1010.729 0.425E-260.055  3104.753                        24          0.61 211  6       0.000E+00.0560-.001555000 0 0 0
  1010.735 0.283E-260.055  3104.747                        24          0.61 211  6       0.000E+00.0560-.001555000 0 0 0
  1010.901 0.115E-240.039  1976.398                        19          0.63 211  6       0.000E+00.0594-.001555000 0 0 0
  1011.061 0.646E-250.049  1976.242                        19          0.63 211  6       0.000E+00.0594-.001555000 0 0 0
  1011.106 0.478E-250.028  1976.200                        19          0.63 211  6       0.000E+00.0594-.001556000 0 0 0
  1011.221 0.738E-260.052  2166.585                        12          0.65 211  6       0.000E+00.0676-.001556000 0 0 0
  1011.548 0.217E-260.056  1754.908                         6          0.72 211  6       0.000E+00.0773-.001556000 0 0 0
  1011.576 0.108E-260.039  3174.318                        19          0.63 211  6       0.000E+00.0594-.001556000 0 0 0
  1011.643 0.220E-260.049  1974.042                        19          0.63 211  6       0.000E+00.0594-.001556000 0 0 0
  1011.679 0.236E-260.049  1974.041                        19          0.63 211  6       0.000E+00.0594-.001556000 0 0 0
  1011.806 0.153E-260.053  2115.150                        10          0.67 211  6       0.000E+00.0729-.001557000 0 0 0
  1011.871 0.372E-260.064  1754.886                         6          0.72 211  6       0.000E+00.0773-.001557000 0 0 0
  1012.115 0.120E-260.066  1692.613                         5          0.75 211  6       0.000E+00.0778-.001557000 0 0 0
  1012.348 0.746E-260.061  1754.847                         6          0.72 211  6       0.000E+00.0773-.001557000 0 0 0
  1013.142 0.173E-260.052  2506.978                        13          0.65 211  6       0.000E+00.0667-.001559000 0 0 0
  1014.124 0.298E-260.063  1694.506                         5          0.75 211  6       0.000E+00.0778-.001560000 0 0 0
  1014.300 0.461E-250.049  1975.760                        19          0.63 211  6       0.000E+00.0594-.001560000 0 0 0
  1014.317 0.133E-260.052  2368.773                        12          0.65 211  6       0.000E+00.0676-.001560000 0 0 0
  1014.334 0.458E-250.049  1975.725                        19          0.63 211  6       0.000E+00.0594-.001561000 0 0 0
  1014.480 0.161E-260.064  1834.250                         7          0.73 211  6       0.000E+00.0776-.001561000 0 0 0
  1014.587 0.157E-260.064  1834.216                         7          0.73 211  6       0.000E+00.0776-.001561000 0 0 0
  1016.902 0.125E-260.058  2007.201                         9          0.67 211  6       0.000E+00.0744-.001564000 0 0 0
  1016.921 0.357E-260.054  2240.623                        11          0.65 211  6       0.000E+00.0703-.001564000 0 0 0
  1017.071 0.314E-260.054  2240.565                        11          0.65 211  6       0.000E+00.0703-.001565000 0 0 0
  1017.789 0.118E-260.058  2007.207                         9          0.67 211  6       0.000E+00.0744-.001566000 0 0 0
  1019.158 0.125E-260.051  2368.642                        12          0.65 211  6       0.000E+00.0676-.001568000 0 0 0
  1020.320 0.202E-260.055  3362.455                        25          0.61 211  6       0.000E+00.0560-.001570000 0 0 0
  1020.552 0.199E-260.055  3362.240                        25          0.61 211  6       0.000E+00.0560-.001570000 0 0 0
  1020.997 0.120E-260.066  1596.924                         3          0.80 211  6       0.000E+00.0825-.001571000 0 0 0
  1021.538 0.665E-260.063  1692.290                         5          0.75 211  6       0.000E+00.0778-.001572000 0 0 0
  1022.199 0.114E-260.044  2641.567                        14          0.65 211  6       0.000E+00.0651-.001573000 0 0 0
  1022.559 0.343E-260.066  1691.726                         5          0.75 211  6       0.000E+00.0778-.001573000 0 0 0
  1022.758 0.502E-260.049  1780.729                        18          0.63 211  6       0.000E+00.0600-.001573000 0 0 0
  1022.885 0.133E-250.049  1780.748                        18          0.63 211  6       0.000E+00.0600-.001574000 0 0 0
  1023.007 0.162E-260.063  1639.178                         4          0.80 211  6       0.000E+00.0794-.001574000 0 0 0
  1023.037 0.470E-260.066  1691.650                         5          0.75 211  6       0.000E+00.0778-.001574000 0 0 0
  1023.174 0.376E-260.049  1780.312                        18          0.63 211  6       0.000E+00.0600-.001574000 0 0 0
  1023.182 0.136E-260.052  2357.356                        12          0.65 211  6       0.000E+00.0676-.001574000 0 0 0
  1023.275 0.278E-240.039  1780.764                        18          0.63 211  6       0.000E+00.0600-.001574000 0 0 0
  1023.290 0.210E-250.028  1780.270                        18          0.63 211  6       0.000E+00.0600-.001574000 0 0 0
  1023.313 0.566E-260.055  3106.018                        24          0.61 211  6       0.000E+00.0560-.001574000 0 0 0
  1023.378 0.565E-260.055  3105.955                        24          0.61 211  6       0.000E+00.0560-.001574000 0 0 0
  1023.502 0.587E-250.049  1779.985                        18          0.63 211  6       0.000E+00.0600-.001575000 0 0 0
  1023.506 0.141E-240.049  1780.748                        18          0.63 211  6       0.000E+00.0600-.001575000 0 0 0
  1023.510 0.791E-260.049  1780.123                        18          0.63 211  6       0.000E+00.0600-.001575000 0 0 0
  1023.666 0.110E-240.049  1780.729                        18          0.63 211  6       0.000E+00.0600-.001575000 0 0 0
  1023.746 0.228E-250.055  2622.483                        22          0.61 211  6       0.000E+00.0570-.001575000 0 0 0
  1023.748 0.228E-250.055  2622.481                        22          0.61 211  6       0.000E+00.0570-.001575000 0 0 0
  1023.770 0.175E-260.052  2494.301                        13          0.65 211  6       0.000E+00.0667-.001575000 0 0 0
  1023.827 0.242E-260.045  2123.312                        10          0.67 211  6       0.000E+00.0729-.001575000 0 0 0
  1023.857 0.255E-260.054  2123.310                        10          0.67 211  6       0.000E+00.0729-.001575000 0 0 0
  1023.882 0.300E-260.058  1912.666                         8          0.72 211  6       0.000E+00.0755-.001575000 0 0 0
  1023.908 0.146E-250.028  1779.651                        18          0.63 211  6       0.000E+00.0600-.001575000 0 0 0
  1023.990 0.151E-260.045  2123.148                        10          0.67 211  6       0.000E+00.0729-.001575000 0 0 0
  1023.997 0.330E-260.054  2123.169                        10          0.67 211  6       0.000E+00.0729-.001575000 0 0 0
  1023.999 0.124E-260.056  1759.080                         6          0.72 211  6       0.000E+00.0773-.001575000 0 0 0
  1024.001 0.218E-250.049  1779.631                        18          0.63 211  6       0.000E+00.0600-.001575000 0 0 0
  1024.016 0.199E-260.064  1759.117                         6          0.72 211  6       0.000E+00.0773-.001575000 0 0 0
  1024.083 0.934E-250.049  1780.312                        18          0.63 211  6       0.000E+00.0600-.001576000 0 0 0
  1024.088 0.389E-260.061  1759.168                         6          0.72 211  6       0.000E+00.0773-.001576000 0 0 0
  1024.106 0.100E-250.053  2123.191                        10          0.67 211  6       0.000E+00.0729-.001576000 0 0 0
  1024.132 0.245E-250.049  1780.123                        18          0.63 211  6       0.000E+00.0600-.001576000 0 0 0
  1024.395 0.220E-240.039  1780.707                        18          0.63 211  6       0.000E+00.0600-.001576000 0 0 0
  1024.411 0.103E-250.049  1779.985                        18          0.63 211  6       0.000E+00.0600-.001576000 0 0 0
  1024.441 0.111E-240.039  1779.597                        18          0.63 211  6       0.000E+00.0600-.001576000 0 0 0
  1024.459 0.278E-250.049  1780.729                        18          0.63 211  6       0.000E+00.0600-.001576000 0 0 0
  1024.473 0.262E-260.053  2240.981                        11          0.65 211  6       0.000E+00.0703-.001576000 0 0 0
  1024.602 0.110E-260.049  1779.031                        18          0.63 211  6       0.000E+00.0600-.001576000 0 0 0
  1024.615 0.131E-260.045  2240.606                        11          0.65 211  6       0.000E+00.0703-.001576000 0 0 0
  1024.623 0.212E-250.049  1779.631                        18          0.63 211  6       0.000E+00.0600-.001576000 0 0 0
  1024.706 0.150E-260.058  1912.667                         8          0.72 211  6       0.000E+00.0755-.001576000 0 0 0
  1024.876 0.157E-240.049  1780.312                        18          0.63 211  6       0.000E+00.0600-.001577000 0 0 0
  1024.894 0.132E-250.055  2859.349                        23          0.61 211  6       0.000E+00.0565-.001577000 0 0 0
  1024.909 0.132E-250.055  2859.334                        23          0.61 211  6       0.000E+00.0565-.001577000 0 0 0
  1024.954 0.149E-240.028  1780.270                        18          0.63 211  6       0.000E+00.0600-.001577000 0 0 0
  1025.109 0.134E-260.066  1639.651                         4          0.80 211  6       0.000E+00.0794-.001577000 0 0 0
  1025.204 0.196E-250.049  1779.985                        18          0.63 211  6       0.000E+00.0600-.001577000 0 0 0
  1025.224 0.144E-250.049  1779.031                        18          0.63 211  6       0.000E+00.0600-.001577000 0 0 0
  1025.371 0.217E-250.049  1779.025                        18          0.63 211  6       0.000E+00.0600-.001577000 0 0 0
  1025.378 0.146E-260.058  1914.193                         8          0.72 211  6       0.000E+00.0755-.001578000 0 0 0
  1025.572 0.547E-260.028  1779.651                        18          0.63 211  6       0.000E+00.0600-.001578000 0 0 0
  1025.887 0.104E-260.051  2494.570                        13          0.65 211  6       0.000E+00.0667-.001578000 0 0 0
  1025.957 0.153E-260.055  3628.669                        26          0.61 211  6       0.000E+00.0560-.001578000 0 0 0
  1025.975 0.559E-260.049  1780.748                        18          0.63 211  6       0.000E+00.0600-.001578000 0 0 0
  1026.005 0.623E-260.049  1780.729                        18          0.63 211  6       0.000E+00.0600-.001578000 0 0 0
  1026.422 0.303E-260.049  1780.312                        18          0.63 211  6       0.000E+00.0600-.001579000 0 0 0
  1026.601 0.157E-240.049  1780.123                        18          0.63 211  6       0.000E+00.0600-.001579000 0 0 0
  1026.695 0.157E-260.054  2123.086                        10          0.67 211  6       0.000E+00.0729-.001580000 0 0 0
  1026.750 0.171E-240.049  1779.985                        18          0.63 211  6       0.000E+00.0600-.001580000 0 0 0
  1026.867 0.124E-260.066  1639.881                         4          0.80 211  6       0.000E+00.0794-.001580000 0 0 0
  1026.888 0.225E-260.052  2319.226                        13          0.65 211  6       0.000E+00.0667-.001580000 0 0 0
  1026.897 0.909E-260.039  1778.205                        18          0.63 211  6       0.000E+00.0600-.001580000 0 0 0
  1026.983 0.604E-260.049  1778.205                        18          0.63 211  6       0.000E+00.0600-.001580000 0 0 0
  1027.019 0.425E-260.028  1778.205                        18          0.63 211  6       0.000E+00.0600-.001580000 0 0 0
  1027.072 0.128E-260.051  2319.246                        13          0.65 211  6       0.000E+00.0667-.001580000 0 0 0
  1027.092 0.269E-260.049  1779.631                        18          0.63 211  6       0.000E+00.0600-.001580000 0 0 0
  1028.057 0.136E-260.049  2983.865                        18          0.63 211  6       0.000E+00.0600-.001582000 0 0 0
  1028.573 0.115E-260.054  2231.095                        11          0.65 211  6       0.000E+00.0703-.001582000 0 0 0
  1028.652 0.314E-260.039  1780.764                        18          0.63 211  6       0.000E+00.0600-.001583000 0 0 0
  1028.751 0.737E-260.045  2050.574                        11          0.65 211  6       0.000E+00.0703-.001583000 0 0 0
  1028.830 0.113E-250.054  2050.602                        11          0.65 211  6       0.000E+00.0703-.001583000 0 0 0
  1028.960 0.195E-250.053  2050.655                        11          0.65 211  6       0.000E+00.0703-.001583000 0 0 0
  1029.040 0.312E-260.055  3363.714                        25          0.61 211  6       0.000E+00.0560-.001583000 0 0 0
  1029.127 0.121E-260.051  2357.740                        12          0.65 211  6       0.000E+00.0676-.001583000 0 0 0
  1029.292 0.153E-260.049  1780.123                        18          0.63 211  6       0.000E+00.0600-.001584000 0 0 0
  1029.395 0.194E-260.049  2984.388                        18          0.63 211  6       0.000E+00.0600-.001584000 0 0 0
  1029.466 0.113E-260.049  2984.001                        18          0.63 211  6       0.000E+00.0600-.001584000 0 0 0
  1029.493 0.118E-260.041  2357.861                        12          0.65 211  6       0.000E+00.0676-.001584000 0 0 0
  1029.580 0.154E-260.054  2123.086                        10          0.67 211  6       0.000E+00.0729-.001584000 0 0 0
  1029.648 0.111E-260.054  2123.169                        10          0.67 211  6       0.000E+00.0729-.001584000 0 0 0
  1029.763 0.728E-250.028  1779.651                        18          0.63 211  6       0.000E+00.0600-.001584000 0 0 0
  1029.783 0.109E-240.049  1779.631                        18          0.63 211  6       0.000E+00.0600-.001584000 0 0 0
  1029.818 0.185E-240.039  1779.597                        18          0.63 211  6       0.000E+00.0600-.001584000 0 0 0
  1029.880 0.151E-260.055  3363.061                        25          0.61 211  6       0.000E+00.0560-.001584000 0 0 0
  1030.016 0.754E-260.058  2016.360                         9          0.67 211  6       0.000E+00.0744-.001585000 0 0 0
  1030.067 0.133E-260.051  2357.905                        12          0.65 211  6       0.000E+00.0676-.001585000 0 0 0
  1030.086 0.145E-260.055  3362.955                        25          0.61 211  6       0.000E+00.0560-.001585000 0 0 0
  1030.095 0.790E-260.058  2016.323                         9          0.67 211  6       0.000E+00.0744-.001585000 0 0 0
  1031.386 0.204E-260.064  1828.561                         7          0.73 211  6       0.000E+00.0776-.001587000 0 0 0
  1031.590 0.829E-260.054  2044.342                        11          0.65 211  6       0.000E+00.0703-.001587000 0 0 0
  1031.734 0.498E-260.061  1830.037                         7          0.73 211  6       0.000E+00.0776-.001587000 0 0 0
  1031.821 0.117E-260.058  2016.151                         9          0.67 211  6       0.000E+00.0744-.001587000 0 0 0
  1031.857 0.106E-250.054  2044.952                        11          0.65 211  6       0.000E+00.0703-.001587000 0 0 0
  1031.981 0.282E-260.039  2984.900                        18          0.63 211  6       0.000E+00.0600-.001588000 0 0 0
  1032.040 0.146E-260.049  2984.787                        18          0.63 211  6       0.000E+00.0600-.001588000 0 0 0
  1032.148 0.136E-260.053  2115.150                        10          0.67 211  6       0.000E+00.0729-.001588000 0 0 0
  1032.233 0.125E-260.064  1828.546                         7          0.73 211  6       0.000E+00.0776-.001588000 0 0 0
  1032.642 0.696E-260.058  2016.129                         9          0.67 211  6       0.000E+00.0744-.001589000 0 0 0
  1032.700 0.110E-260.044  2940.113                        17          0.63 211  6       0.000E+00.0614-.001589000 0 0 0
  1032.766 0.177E-260.066  1694.632                         5          0.75 211  6       0.000E+00.0778-.001589000 0 0 0
  1033.008 0.281E-260.054  2231.627                        11          0.65 211  6       0.000E+00.0703-.001589000 0 0 0
  1033.052 0.133E-260.054  2115.258                        10          0.67 211  6       0.000E+00.0729-.001589000 0 0 0
  1033.265 0.269E-260.066  1694.705                         5          0.75 211  6       0.000E+00.0778-.001590000 0 0 0
  1033.628 0.430E-260.066  1638.967                         4          0.80 211  6       0.000E+00.0794-.001590000 0 0 0
  1033.754 0.119E-260.045  2231.467                        11          0.65 211  6       0.000E+00.0703-.001590000 0 0 0
  1033.812 0.217E-260.054  2231.551                        11          0.65 211  6       0.000E+00.0703-.001590000 0 0 0
  1033.829 0.399E-260.055  3106.986                        24          0.61 211  6       0.000E+00.0560-.001591000 0 0 0
  1033.842 0.432E-260.053  2231.613                        11          0.65 211  6       0.000E+00.0703-.001591000 0 0 0
  1033.853 0.105E-260.045  2115.306                        10          0.67 211  6       0.000E+00.0729-.001591000 0 0 0
  1033.883 0.342E-260.058  1638.915                         4          0.80 211  6       0.000E+00.0794-.001591000 0 0 0
  1033.952 0.599E-260.055  3106.886                        24          0.61 211  6       0.000E+00.0560-.001591000 0 0 0
  1034.093 0.161E-260.058  2016.151                         9          0.67 211  6       0.000E+00.0744-.001591000 0 0 0
  1034.130 0.601E-260.045  2041.075                        11          0.65 211  6       0.000E+00.0703-.001591000 0 0 0
  1034.138 0.132E-260.052  2016.175                         9          0.67 211  6       0.000E+00.0744-.001591000 0 0 0
  1034.163 0.110E-250.055  3106.720                        24          0.61 211  6       0.000E+00.0560-.001591000 0 0 0
  1034.450 0.837E-260.054  2040.540                        11          0.65 211  6       0.000E+00.0703-.001591000 0 0 0
  1035.281 0.643E-260.052  1919.986                         8          0.72 211  6       0.000E+00.0755-.001593000 0 0 0
  1035.299 0.151E-250.058  1919.992                         8          0.72 211  6       0.000E+00.0755-.001593000 0 0 0
  1035.349 0.985E-260.058  1919.988                         8          0.72 211  6       0.000E+00.0755-.001593000 0 0 0
  1036.419 0.179E-260.052  2368.521                        12          0.65 211  6       0.000E+00.0676-.001594000 0 0 0
  1036.430 0.706E-260.053  2115.833                        10          0.67 211  6       0.000E+00.0729-.001595000 0 0 0
  1036.484 0.137E-260.058  2009.891                         9          0.67 211  6       0.000E+00.0744-.001595000 0 0 0
  1036.803 0.110E-260.049  2985.721                        18          0.63 211  6       0.000E+00.0600-.001595000 0 0 0
  1036.835 0.108E-260.049  2985.685                        18          0.63 211  6       0.000E+00.0600-.001595000 0 0 0
  1036.913 0.325E-260.054  2115.753                        10          0.67 211  6       0.000E+00.0729-.001595000 0 0 0
  1036.965 0.115E-260.063  1694.506                         5          0.75 211  6       0.000E+00.0778-.001595000 0 0 0
  1037.051 0.290E-250.055  2860.484                        23          0.61 211  6       0.000E+00.0565-.001595000 0 0 0
  1037.069 0.319E-260.058  1919.756                         8          0.72 211  6       0.000E+00.0755-.001595000 0 0 0
  1037.108 0.355E-260.054  2115.709                        10          0.67 211  6       0.000E+00.0729-.001596000 0 0 0
  1037.146 0.170E-250.055  2860.396                        23          0.61 211  6       0.000E+00.0565-.001596000 0 0 0
  1037.185 0.114E-250.055  2860.361                        23          0.61 211  6       0.000E+00.0565-.001596000 0 0 0
  1037.296 0.199E-260.064  1756.150                         6          0.72 211  6       0.000E+00.0773-.001596000 0 0 0
  1037.350 0.205E-260.058  2009.977                         9          0.67 211  6       0.000E+00.0744-.001596000 0 0 0
  1037.600 0.383E-260.058  2008.968                         9          0.67 211  6       0.000E+00.0744-.001596000 0 0 0
  1037.917 0.113E-260.055  3363.847                        25          0.61 211  6       0.000E+00.0560-.001597000 0 0 0
  1038.059 0.161E-260.056  1754.908                         6          0.72 211  6       0.000E+00.0773-.001597000 0 0 0
  1038.068 0.185E-260.044  2443.035                        14          0.65 211  6       0.000E+00.0651-.001597000 0 0 0
  1038.082 0.149E-260.058  2009.891                         9          0.67 211  6       0.000E+00.0744-.001597000 0 0 0
  1038.230 0.121E-260.058  1919.726                         8          0.72 211  6       0.000E+00.0755-.001597000 0 0 0
  1038.246 0.108E-240.055  2396.797                        21          0.61 211  6       0.000E+00.0575-.001597000 0 0 0
  1038.248 0.648E-250.055  2396.794                        21          0.61 211  6       0.000E+00.0575-.001597000 0 0 0
  1038.250 0.432E-250.055  2396.793                        21          0.61 211  6       0.000E+00.0575-.001597000 0 0 0
  1038.519 0.108E-260.061  1597.265                         3          0.80 211  6       0.000E+00.0825-.001598000 0 0 0
  1038.560 0.152E-260.064  1754.886                         6          0.72 211  6       0.000E+00.0773-.001598000 0 0 0
  1038.652 0.110E-260.055  3629.596                        26          0.61 211  6       0.000E+00.0560-.001598000 0 0 0
  1038.704 0.120E-260.055  3363.061                        25          0.61 211  6       0.000E+00.0560-.001598000 0 0 0
  1038.937 0.153E-250.047  1594.345                        17          0.63 211  6       0.000E+00.0614-.001598000 0 0 0
  1038.979 0.259E-250.047  1594.383                        17          0.63 211  6       0.000E+00.0614-.001598000 0 0 0
  1038.999 0.260E-250.055  2623.687                        22          0.61 211  6       0.000E+00.0570-.001598000 0 0 0
  1039.009 0.389E-250.055  2623.677                        22          0.61 211  6       0.000E+00.0570-.001598000 0 0 0
  1039.027 0.647E-250.055  2623.659                        22          0.61 211  6       0.000E+00.0570-.001599000 0 0 0
  1039.335 0.164E-260.051  2311.961                        13          0.65 211  6       0.000E+00.0667-.001599000 0 0 0
  1039.336 0.269E-250.047  1594.026                        17          0.63 211  6       0.000E+00.0614-.001599000 0 0 0
  1039.403 0.675E-250.047  1593.879                        17          0.63 211  6       0.000E+00.0614-.001599000 0 0 0
  1039.435 0.254E-240.044  1593.785                        17          0.63 211  6       0.000E+00.0614-.001599000 0 0 0
  1039.607 0.341E-240.047  1594.383                        17          0.63 211  6       0.000E+00.0614-.001599000 0 0 0
  1039.671 0.479E-260.064  1834.216                         7          0.73 211  6       0.000E+00.0776-.001599000 0 0 0
  1039.713 0.219E-240.029  1594.367                        17          0.63 211  6       0.000E+00.0614-.001600000 0 0 0
  1039.720 0.570E-250.047  1593.562                        17          0.63 211  6       0.000E+00.0614-.001600000 0 0 0
  1039.753 0.111E-250.064  1834.250                         7          0.73 211  6       0.000E+00.0776-.001600000 0 0 0
  1039.839 0.622E-250.047  1593.523                        17          0.63 211  6       0.000E+00.0614-.001600000 0 0 0
  1039.855 0.104E-260.047  2443.523                        14          0.65 211  6       0.000E+00.0651-.001600000 0 0 0
  1039.873 0.490E-260.058  2010.371                         9          0.67 211  6       0.000E+00.0744-.001600000 0 0 0
  1039.922 0.479E-260.064  1834.216                         7          0.73 211  6       0.000E+00.0776-.001600000 0 0 0
  1039.964 0.344E-250.047  1594.026                        17          0.63 211  6       0.000E+00.0614-.001600000 0 0 0
  1039.999 0.335E-260.052  2010.313                         9          0.67 211  6       0.000E+00.0744-.001600000 0 0 0
  1040.034 0.319E-260.044  2444.830                        14          0.65 211  6       0.000E+00.0651-.001600000 0 0 0
  1040.081 0.145E-260.047  2444.097                        14          0.65 211  6       0.000E+00.0651-.001600000 0 0 0
  1040.152 0.915E-250.029  1593.928                        17          0.63 211  6       0.000E+00.0614-.001600000 0 0 0
  1040.296 0.172E-260.058  1915.041                         8          0.72 211  6       0.000E+00.0755-.001600000 0 0 0
  1040.314 0.344E-260.047  1593.049                        17          0.63 211  6       0.000E+00.0614-.001600000 0 0 0
  1040.354 0.277E-240.047  1594.345                        17          0.63 211  6       0.000E+00.0614-.001601000 0 0 0
  1040.376 0.115E-260.051  2312.249                        13          0.65 211  6       0.000E+00.0667-.001601000 0 0 0
  1040.440 0.406E-250.044  1593.056                        17          0.63 211  6       0.000E+00.0614-.001601000 0 0 0
  1040.445 0.531E-260.058  1914.846                         8          0.72 211  6       0.000E+00.0755-.001601000 0 0 0
  1040.453 0.675E-260.047  1594.383                        17          0.63 211  6       0.000E+00.0614-.001601000 0 0 0
  1040.467 0.649E-250.047  1593.523                        17          0.63 211  6       0.000E+00.0614-.001601000 0 0 0
  1040.624 0.171E-260.056  1833.991                         7          0.73 211  6       0.000E+00.0776-.001601000 0 0 0
  1040.810 0.520E-240.047  1594.026                        17          0.63 211  6       0.000E+00.0614-.001601000 0 0 0
  1040.820 0.602E-250.047  1593.879                        17          0.63 211  6       0.000E+00.0614-.001601000 0 0 0
