Wavenumber	NESR 1.00 cm-1
566.48157	2.71996E-07
566.61987	2.69129E-07
566.75818	2.64677E-07
566.89648	2.59021E-07
567.03479	2.52556E-07
567.17310	2.45635E-07
567.31140	2.38535E-07
567.44965	2.31453E-07
567.58795	2.24517E-07
567.72626	2.17805E-07
567.86456	2.11355E-07
568.00287	2.05183E-07
568.14117	1.99290E-07
568.27948	1.93667E-07
568.41779	1.88302E-07
568.55609	1.83181E-07
568.69440	1.78288E-07
568.83270	1.73609E-07
568.97101	1.69130E-07
569.10931	1.64838E-07
569.24762	1.60721E-07
569.38586	1.56768E-07
569.52417	1.52969E-07
569.66248	1.49315E-07
569.80078	1.45798E-07
569.93909	1.42409E-07
570.07739	1.39141E-07
570.21570	1.35988E-07
570.35400	1.32944E-07
570.49231	1.30004E-07
570.63062	1.27161E-07
570.76892	1.24412E-07
570.90723	1.21751E-07
571.04553	1.19175E-07
571.18378	1.16680E-07
571.32208	1.14262E-07
571.46039	1.11918E-07
571.59869	1.09645E-07
571.73700	1.07440E-07
571.87531	1.05300E-07
572.01361	1.03222E-07
572.15192	1.01205E-07
572.29022	9.92451E-08
572.42853	9.73412E-08
572.56683	9.54907E-08
572.70514	9.36921E-08
572.84345	9.19433E-08
572.98175	9.02426E-08
573.12000	8.85885E-08
573.25830	8.69793E-08
573.39661	8.54136E-08
573.53491	8.38900E-08
573.67322	8.24071E-08
573.81152	8.09636E-08
573.94983	7.95582E-08
574.08814	7.81899E-08
574.22644	7.68574E-08
574.36475	7.55597E-08
574.50305	7.42957E-08
574.64136	7.30643E-08
574.77966	7.18647E-08
574.91797	7.06959E-08
575.05621	6.95570E-08
575.19452	6.84469E-08
575.33283	6.73650E-08
575.47113	6.63105E-08
575.60944	6.52824E-08
575.74774	6.42801E-08
575.88605	6.33028E-08
576.02435	6.23498E-08
576.16266	6.14205E-08
576.30096	6.05140E-08
576.43927	5.96298E-08
576.57758	5.87672E-08
576.71588	5.79256E-08
576.85413	5.71044E-08
576.99243	5.63031E-08
577.13074	5.55210E-08
577.26904	5.47576E-08
577.40735	5.40125E-08
577.54565	5.32850E-08
577.68396	5.25746E-08
577.82227	5.18809E-08
577.96057	5.12035E-08
578.09888	5.05417E-08
578.23718	4.98952E-08
578.37549	4.92636E-08
578.51379	4.86464E-08
578.65210	4.80432E-08
578.79034	4.74536E-08
578.92865	4.68773E-08
579.06696	4.63137E-08
579.20526	4.57627E-08
579.34357	4.52237E-08
579.48187	4.46966E-08
579.62018	4.41808E-08
579.75848	4.36763E-08
579.89679	4.31825E-08
580.03510	4.26992E-08
580.17340	4.22262E-08
580.31171	4.17630E-08
580.45001	4.13094E-08
580.58826	4.08652E-08
580.72656	4.04302E-08
580.86487	4.00038E-08
581.00317	3.95861E-08
581.14148	3.91767E-08
581.27979	3.87755E-08
581.41809	3.83822E-08
581.55640	3.79965E-08
581.69470	3.76182E-08
581.83301	3.72473E-08
581.97131	3.68833E-08
582.10962	3.65262E-08
582.24793	3.61757E-08
582.38623	3.58317E-08
582.52448	3.54940E-08
582.66278	3.51624E-08
582.80109	3.48366E-08
582.93939	3.45168E-08
583.07770	3.42026E-08
583.21600	3.38938E-08
583.35431	3.35904E-08
583.49262	3.32922E-08
583.63092	3.29990E-08
583.76923	3.27108E-08
583.90753	3.24274E-08
584.04584	3.21487E-08
584.18414	3.18745E-08
584.32239	3.16049E-08
584.46069	3.13394E-08
584.59900	3.10783E-08
584.73731	3.08212E-08
584.87561	3.05682E-08
585.01392	3.03192E-08
585.15222	3.00739E-08
585.29053	2.98325E-08
585.42883	2.95947E-08
585.56714	2.93604E-08
585.70544	2.91297E-08
585.84375	2.89023E-08
585.98206	2.86782E-08
586.12036	2.84575E-08
586.25861	2.82400E-08
586.39691	2.80255E-08
586.53522	2.78141E-08
586.67352	2.76057E-08
586.81183	2.74002E-08
586.95013	2.71976E-08
587.08844	2.69978E-08
587.22675	2.68007E-08
587.36505	2.66064E-08
587.50336	2.64147E-08
587.64166	2.62256E-08
587.77997	2.60391E-08
587.91827	2.58550E-08
588.05652	2.56734E-08
588.19482	2.54943E-08
588.33313	2.53175E-08
588.47144	2.51430E-08
588.60974	2.49708E-08
588.74805	2.48008E-08
588.88635	2.46331E-08
589.02466	2.44675E-08
589.16296	2.43041E-08
589.30127	2.41427E-08
589.43958	2.39835E-08
589.57788	2.38263E-08
589.71619	2.36711E-08
589.85449	2.35179E-08
589.99274	2.33666E-08
590.13104	2.32172E-08
590.26935	2.30698E-08
590.40765	2.29242E-08
590.54596	2.27804E-08
590.68427	2.26385E-08
590.82257	2.24982E-08
590.96088	2.23598E-08
591.09918	2.22231E-08
591.23749	2.20882E-08
591.37579	2.19548E-08
591.51410	2.18232E-08
591.65241	2.16932E-08
591.79071	2.15648E-08
591.92896	2.14380E-08
592.06726	2.13128E-08
592.20557	2.11892E-08
592.34387	2.10671E-08
592.48218	2.09465E-08
592.62048	2.08274E-08
592.75879	2.07097E-08
592.89710	2.05936E-08
593.03540	2.04789E-08
593.17371	2.03656E-08
593.31201	2.02537E-08
593.45032	2.01433E-08
593.58862	2.00342E-08
593.72687	1.99264E-08
593.86517	1.98200E-08
594.00348	1.97149E-08
594.14179	1.96111E-08
594.28009	1.95086E-08
594.41840	1.94074E-08
594.55670	1.93074E-08
594.69501	1.92087E-08
594.83331	1.91111E-08
594.97162	1.90149E-08
595.10992	1.89197E-08
595.24823	1.88259E-08
595.38654	1.87332E-08
595.52484	1.86416E-08
595.66309	1.85512E-08
595.80139	1.84620E-08
595.93970	1.83739E-08
596.07800	1.82868E-08
596.21631	1.82009E-08
596.35461	1.81161E-08
596.49292	1.80324E-08
596.63123	1.79497E-08
596.76953	1.78681E-08
596.90784	1.77875E-08
597.04614	1.77080E-08
597.18445	1.76295E-08
597.32275	1.75520E-08
597.46100	1.74755E-08
597.59930	1.74001E-08
597.73761	1.73256E-08
597.87592	1.72521E-08
598.01422	1.71796E-08
598.15253	1.71080E-08
598.29083	1.70374E-08
598.42914	1.69678E-08
598.56744	1.68991E-08
598.70575	1.68313E-08
598.84406	1.67644E-08
598.98236	1.66985E-08
