Wavenumber	NESR 6.60 cm-1
1019.53296	8.83381E-09
1019.65741	8.82819E-09
1019.78186	8.82054E-09
1019.90631	8.81088E-09
1020.03076	8.79924E-09
1020.15521	8.78567E-09
1020.27966	8.77019E-09
1020.40411	8.75288E-09
1020.52863	8.73377E-09
1020.65308	8.71292E-09
1020.77753	8.69043E-09
1020.90198	8.66636E-09
1021.02643	8.64078E-09
1021.15088	8.61377E-09
1021.27533	8.58543E-09
1021.39978	8.55583E-09
1021.52423	8.52504E-09
1021.64868	8.49317E-09
1021.77313	8.46026E-09
1021.89758	8.42646E-09
1022.02203	8.39176E-09
1022.14648	8.35631E-09
1022.27094	8.32015E-09
1022.39545	8.28334E-09
1022.51990	8.24596E-09
1022.64435	8.20808E-09
1022.76880	8.16974E-09
1022.89325	8.13103E-09
1023.01770	8.09195E-09
1023.14215	8.05259E-09
1023.26660	8.01298E-09
1023.39105	7.97314E-09
1023.51550	7.93315E-09
1023.63995	7.89302E-09
1023.76440	7.85280E-09
1023.88886	7.81251E-09
1024.01331	7.77219E-09
1024.13782	7.73184E-09
1024.26221	7.69153E-09
1024.38672	7.65123E-09
1024.51111	7.61100E-09
1024.63562	7.57083E-09
1024.76001	7.53075E-09
1024.88452	7.49076E-09
1025.00891	7.45090E-09
1025.13342	7.41117E-09
1025.25794	7.37156E-09
1025.38232	7.33210E-09
1025.50684	7.29281E-09
1025.63123	7.25368E-09
1025.75574	7.21472E-09
1025.88013	7.17595E-09
1026.00464	7.13739E-09
1026.12903	7.09898E-09
1026.25354	7.06079E-09
1026.37793	7.02280E-09
1026.50244	6.98502E-09
1026.62683	6.94744E-09
1026.75134	6.91008E-09
1026.87573	6.87293E-09
1027.00024	6.83600E-09
1027.12476	6.79930E-09
1027.24915	6.76281E-09
1027.37366	6.72656E-09
1027.49805	6.69054E-09
1027.62256	6.65475E-09
1027.74695	6.61919E-09
1027.87146	6.58387E-09
1027.99585	6.54877E-09
1028.12036	6.51391E-09
1028.24475	6.47929E-09
1028.36926	6.44490E-09
1028.49365	6.41075E-09
1028.61816	6.37684E-09
1028.74255	6.34315E-09
1028.86707	6.30971E-09
1028.99158	6.27650E-09
1029.11597	6.24353E-09
1029.24048	6.21081E-09
1029.36487	6.17832E-09
1029.48938	6.14607E-09
1029.61377	6.11404E-09
1029.73828	6.08226E-09
1029.86267	6.05071E-09
1029.98718	6.01940E-09
1030.11157	5.98832E-09
1030.23608	5.95748E-09
1030.36047	5.92686E-09
1030.48499	5.89647E-09
1030.60938	5.86632E-09
1030.73389	5.83640E-09
1030.85828	5.80670E-09
1030.98279	5.77723E-09
1031.10730	5.74797E-09
1031.23169	5.71895E-09
1031.35620	5.69015E-09
1031.48059	5.66158E-09
1031.60510	5.63322E-09
1031.72949	5.60508E-09
1031.85400	5.57715E-09
1031.97839	5.54944E-09
1032.10291	5.52193E-09
1032.22730	5.49464E-09
1032.35181	5.46756E-09
1032.47620	5.44069E-09
1032.60071	5.41402E-09
1032.72510	5.38756E-09
1032.84961	5.36130E-09
1032.97412	5.33524E-09
1033.09851	5.30937E-09
1033.22302	5.28369E-09
1033.34741	5.25822E-09
1033.47192	5.23293E-09
1033.59631	5.20783E-09
1033.72083	5.18292E-09
1033.84522	5.15819E-09
1033.96973	5.13364E-09
1034.09412	5.10928E-09
1034.21863	5.08509E-09
1034.34302	5.06107E-09
1034.46753	5.03724E-09
1034.59192	5.01356E-09
1034.71643	4.99006E-09
1034.84094	4.96673E-09
1034.96533	4.94355E-09
1035.08984	4.92055E-09
1035.21423	4.89769E-09
1035.33875	4.87500E-09
1035.46314	4.85246E-09
1035.58765	4.83007E-09
1035.71204	4.80784E-09
1035.83655	4.78575E-09
1035.96094	4.76380E-09
1036.08545	4.74200E-09
1036.20984	4.72034E-09
1036.33435	4.69882E-09
1036.45874	4.67744E-09
1036.58325	4.65619E-09
1036.70776	4.63507E-09
1036.83215	4.61409E-09
1036.95667	4.59323E-09
1037.08106	4.57250E-09
1037.20557	4.55189E-09
1037.32996	4.53141E-09
1037.45447	4.51105E-09
1037.57886	4.49080E-09
1037.70337	4.47067E-09
1037.82776	4.45066E-09
1037.95227	4.43076E-09
1038.07666	4.41098E-09
1038.20117	4.39130E-09
1038.32556	4.37173E-09
1038.45007	4.35227E-09
1038.57459	4.33291E-09
1038.69898	4.31365E-09
1038.82349	4.29450E-09
1038.94788	4.27545E-09
1039.07239	4.25651E-09
1039.19678	4.23765E-09
1039.32129	4.21889E-09
1039.44568	4.20023E-09
1039.57019	4.18167E-09
1039.69458	4.16320E-09
1039.81909	4.14482E-09
1039.94348	4.12653E-09
1040.06799	4.10833E-09
1040.19238	4.09022E-09
1040.31690	4.07220E-09
1040.44141	4.05427E-09
1040.56580	4.03643E-09
1040.69031	4.01867E-09
1040.81470	4.00100E-09
1040.93921	3.98341E-09
