Wavenumber	NESR 1.00 cm-1
1019.53296	2.77854E-08
1019.65741	2.77677E-08
1019.78186	2.77436E-08
1019.90631	2.77132E-08
1020.03076	2.76766E-08
1020.15521	2.76339E-08
1020.27966	2.75853E-08
1020.40411	2.75308E-08
1020.52863	2.74707E-08
1020.65308	2.74051E-08
1020.77753	2.73344E-08
1020.90198	2.72587E-08
1021.02643	2.71782E-08
1021.15088	2.70933E-08
1021.27533	2.70041E-08
1021.39978	2.69110E-08
1021.52423	2.68142E-08
1021.64868	2.67139E-08
1021.77313	2.66104E-08
1021.89758	2.65041E-08
1022.02203	2.63950E-08
1022.14648	2.62835E-08
1022.27094	2.61697E-08
1022.39545	2.60539E-08
1022.51990	2.59364E-08
1022.64435	2.58172E-08
1022.76880	2.56966E-08
1022.89325	2.55749E-08
1023.01770	2.54520E-08
1023.14215	2.53281E-08
1023.26660	2.52035E-08
1023.39105	2.50782E-08
1023.51550	2.49525E-08
1023.63995	2.48263E-08
1023.76440	2.46998E-08
1023.88886	2.45730E-08
1024.01331	2.44462E-08
1024.13782	2.43193E-08
1024.26221	2.41925E-08
1024.38672	2.40657E-08
1024.51111	2.39392E-08
1024.63562	2.38128E-08
1024.76001	2.36868E-08
1024.88452	2.35610E-08
1025.00891	2.34356E-08
1025.13342	2.33106E-08
1025.25794	2.31861E-08
1025.38232	2.30620E-08
1025.50684	2.29384E-08
1025.63123	2.28153E-08
1025.75574	2.26928E-08
1025.88013	2.25708E-08
1026.00464	2.24495E-08
1026.12903	2.23287E-08
1026.25354	2.22086E-08
1026.37793	2.20891E-08
1026.50244	2.19703E-08
1026.62683	2.18521E-08
1026.75134	2.17346E-08
1026.87573	2.16177E-08
1027.00024	2.15016E-08
1027.12476	2.13861E-08
1027.24915	2.12714E-08
1027.37366	2.11573E-08
1027.49805	2.10440E-08
1027.62256	2.09315E-08
1027.74695	2.08196E-08
1027.87146	2.07085E-08
1027.99585	2.05981E-08
1028.12036	2.04885E-08
1028.24475	2.03796E-08
1028.36926	2.02714E-08
1028.49365	2.01640E-08
1028.61816	2.00573E-08
1028.74255	1.99514E-08
1028.86707	1.98462E-08
1028.99158	1.97417E-08
1029.11597	1.96380E-08
1029.24048	1.95351E-08
1029.36487	1.94329E-08
1029.48938	1.93315E-08
1029.61377	1.92307E-08
1029.73828	1.91308E-08
1029.86267	1.90316E-08
1029.98718	1.89331E-08
1030.11157	1.88353E-08
1030.23608	1.87383E-08
1030.36047	1.86420E-08
1030.48499	1.85464E-08
1030.60938	1.84516E-08
1030.73389	1.83575E-08
1030.85828	1.82641E-08
1030.98279	1.81714E-08
1031.10730	1.80793E-08
1031.23169	1.79881E-08
1031.35620	1.78975E-08
1031.48059	1.78076E-08
1031.60510	1.77184E-08
1031.72949	1.76299E-08
1031.85400	1.75420E-08
1031.97839	1.74549E-08
1032.10291	1.73684E-08
1032.22730	1.72825E-08
1032.35181	1.71974E-08
1032.47620	1.71128E-08
1032.60071	1.70290E-08
1032.72510	1.69457E-08
1032.84961	1.68631E-08
1032.97412	1.67811E-08
1033.09851	1.66998E-08
1033.22302	1.66190E-08
1033.34741	1.65389E-08
1033.47192	1.64593E-08
1033.59631	1.63804E-08
1033.72083	1.63021E-08
1033.84522	1.62243E-08
1033.96973	1.61471E-08
1034.09412	1.60704E-08
1034.21863	1.59943E-08
1034.34302	1.59188E-08
1034.46753	1.58438E-08
1034.59192	1.57694E-08
1034.71643	1.56955E-08
1034.84094	1.56221E-08
1034.96533	1.55492E-08
1035.08984	1.54768E-08
1035.21423	1.54049E-08
1035.33875	1.53336E-08
1035.46314	1.52627E-08
1035.58765	1.51922E-08
1035.71204	1.51223E-08
1035.83655	1.50528E-08
1035.96094	1.49838E-08
1036.08545	1.49152E-08
1036.20984	1.48471E-08
1036.33435	1.47794E-08
1036.45874	1.47121E-08
1036.58325	1.46453E-08
1036.70776	1.45789E-08
1036.83215	1.45129E-08
1036.95667	1.44473E-08
1037.08106	1.43821E-08
1037.20557	1.43172E-08
1037.32996	1.42528E-08
1037.45447	1.41888E-08
1037.57886	1.41251E-08
1037.70337	1.40618E-08
1037.82776	1.39989E-08
1037.95227	1.39363E-08
1038.07666	1.38740E-08
1038.20117	1.38121E-08
1038.32556	1.37506E-08
1038.45007	1.36894E-08
1038.57459	1.36285E-08
1038.69898	1.35679E-08
1038.82349	1.35077E-08
1038.94788	1.34478E-08
1039.07239	1.33882E-08
1039.19678	1.33289E-08
1039.32129	1.32699E-08
1039.44568	1.32112E-08
1039.57019	1.31528E-08
1039.69458	1.30947E-08
1039.81909	1.30369E-08
1039.94348	1.29793E-08
1040.06799	1.29221E-08
1040.19238	1.28651E-08
1040.31690	1.28085E-08
1040.44141	1.27521E-08
1040.56580	1.26959E-08
1040.69031	1.26401E-08
1040.81470	1.25845E-08
1040.93921	1.25292E-08
1041.06360	1.24741E-08
1041.18811	1.24194E-08
1041.31250	1.23648E-08
1041.43701	1.23105E-08
1041.56140	1.22565E-08
1041.68591	1.22028E-08
1041.81030	1.21493E-08
1041.93481	1.20960E-08
1042.05920	1.20431E-08
1042.18372	1.19903E-08
1042.30823	1.19378E-08
1042.43262	1.18856E-08
1042.55713	1.18336E-08
1042.68152	1.17819E-08
1042.80603	1.17304E-08
1042.93042	1.16792E-08
1043.05493	1.16282E-08
1043.17932	1.15775E-08
1043.30383	1.15270E-08
1043.42822	1.14767E-08
1043.55273	1.14267E-08
1043.67712	1.13770E-08
1043.80164	1.13275E-08
1043.92603	1.12783E-08
1044.05054	1.12293E-08
1044.17505	1.11805E-08
1044.29944	1.11320E-08
1044.42395	1.10837E-08
1044.54834	1.10357E-08
1044.67285	1.09880E-08
1044.79724	1.09405E-08
1044.92175	1.08932E-08
1045.04614	1.08462E-08
1045.17065	1.07994E-08
1045.29504	1.07529E-08
1045.41956	1.07067E-08
1045.54395	1.06607E-08
1045.66846	1.06149E-08
1045.79285	1.05694E-08
1045.91736	1.05241E-08
1046.04187	1.04791E-08
1046.16626	1.04344E-08
1046.29077	1.03898E-08
1046.41516	1.03456E-08
1046.53967	1.03016E-08
1046.66406	1.02578E-08
1046.78857	1.02143E-08
1046.91296	1.01710E-08
1047.03748	1.01280E-08
1047.16187	1.00853E-08
1047.28638	1.00428E-08
1047.41077	1.00005E-08
1047.53528	9.95849E-09
1047.65967	9.91672E-09
1047.78418	9.87519E-09
1047.90869	9.83391E-09
1048.03308	9.79287E-09
1048.15759	9.75209E-09
1048.28198	9.71155E-09
1048.40649	9.67124E-09
1048.53088	9.63119E-09
1048.65540	9.59138E-09
1048.77979	9.55182E-09
1048.90430	9.51248E-09
1049.02869	9.47340E-09
1049.15320	9.43455E-09
1049.27759	9.39592E-09
1049.40210	9.35754E-09
1049.52649	9.31940E-09
1049.65100	9.28149E-09
1049.77551	9.24381E-09
1049.89990	9.20636E-09
1050.02441	9.16914E-09
1050.14880	9.13216E-09
1050.27332	9.09539E-09
1050.39771	9.05885E-09
1050.52222	9.02253E-09
1050.64661	8.98644E-09
1050.77112	8.95057E-09
1050.89551	8.91492E-09
1051.02002	8.87949E-09
1051.14441	8.84426E-09
1051.26892	8.80926E-09
1051.39331	8.77448E-09
1051.51782	8.73989E-09
1051.64233	8.70553E-09
1051.76672	8.67135E-09
1051.89124	8.63740E-09
1052.01563	8.60364E-09
1052.14014	8.57009E-09
1052.26453	8.53673E-09
1052.38904	8.50360E-09
1052.51343	8.47064E-09
1052.63794	8.43789E-09
1052.76233	8.40533E-09
1052.88684	8.37295E-09
1053.01123	8.34079E-09
1053.13574	8.30880E-09
1053.26013	8.27699E-09
1053.38464	8.24537E-09
1053.50903	8.21393E-09
1053.63355	8.18268E-09
1053.75806	8.15160E-09
1053.88245	8.12071E-09
1054.00696	8.09000E-09
1054.13135	8.05946E-09
1054.25586	8.02909E-09
1054.38025	7.99890E-09
1054.50476	7.96887E-09
1054.62915	7.93902E-09
1054.75366	7.90932E-09
1054.87805	7.87983E-09
1055.00256	7.85046E-09
1055.12695	7.82126E-09
1055.25147	7.79225E-09
1055.37585	7.76338E-09
1055.50037	7.73467E-09
1055.62488	7.70611E-09
1055.74927	7.67771E-09
1055.87378	7.64947E-09
1055.99817	7.62140E-09
1056.12268	7.59346E-09
1056.24707	7.56568E-09
1056.37158	7.53805E-09
1056.49597	7.51058E-09
1056.62048	7.48324E-09
1056.74487	7.45606E-09
1056.86939	7.42901E-09
1056.99377	7.40213E-09
1057.11829	7.37538E-09
1057.24268	7.34879E-09
1057.36719	7.32233E-09
1057.49170	7.29601E-09
1057.61609	7.26984E-09
1057.74060	7.24379E-09
1057.86499	7.21788E-09
1057.98950	7.19212E-09
1058.11389	7.16651E-09
1058.23840	7.14102E-09
