8.2320E-04	1.1680E-06
9.9610E-04	1.0150E-06
1.2050E-03	8.8420E-07
1.4580E-03	7.8180E-07
1.7650E-03	7.0770E-07
2.1350E-03	6.5940E-07
2.5840E-03	5.7600E-07
3.1270E-03	4.6940E-07
3.7830E-03	3.5920E-07
4.5780E-03	2.6010E-07
5.5390E-03	1.7950E-07
6.7030E-03	1.1910E-07
8.1100E-03	7.6510E-08
9.8140E-03	4.8090E-08
1.1870E-02	2.9860E-08
1.4370E-02	1.8610E-08
1.7390E-02	1.1770E-08
2.1040E-02	7.6680E-09
2.5460E-02	5.2210E-09
3.0800E-02	3.7510E-09
3.7270E-02	2.8710E-09
4.5100E-02	2.3500E-09
5.4570E-02	2.0590E-09
6.6030E-02	1.9260E-09
7.9900E-02	1.9130E-09
9.6680E-02	2.0010E-09
1.1700E-01	2.1790E-09
1.4160E-01	2.4420E-09
1.7130E-01	2.7740E-09
2.0730E-01	3.1430E-09
2.5080E-01	3.4940E-09
3.0350E-01	3.7470E-09
3.6720E-01	3.8190E-09
4.4430E-01	3.6530E-09
5.3760E-01	3.2550E-09
6.5060E-01	2.6950E-09
7.8720E-01	2.0820E-09
9.5250E-01	1.5170E-09
1.1530E+00	1.0620E-09
1.3950E+00	7.2880E-10
1.6880E+00	5.0390E-10
2.0420E+00	3.6060E-10
2.4710E+00	2.7440E-10
2.9900E+00	2.2680E-10
