                                HAZE                                                        HCN 
  308.11 0.7817E-01   178.11  0.1027E-03  0.9982E-04  0.1057E-03  0.1008E-03  0.1047E-03  0.1696E-05  0.1473E-05  0.1954E-05  0.1664E-05  0.1729E-05
  301.73 0.8891E-01   179.64  0.1131E-03  0.1100E-03  0.1163E-03  0.1111E-03  0.1152E-03  0.1675E-05  0.1454E-05  0.1929E-05  0.1644E-05  0.1705E-05
  295.32 0.1011E+00   181.01  0.1243E-03  0.1210E-03  0.1278E-03  0.1221E-03  0.1266E-03  0.1622E-05  0.1408E-05  0.1868E-05  0.1592E-05  0.1652E-05
  288.91 0.1150E+00   182.10  0.1363E-03  0.1329E-03  0.1399E-03  0.1338E-03  0.1389E-03  0.1545E-05  0.1342E-05  0.1780E-05  0.1517E-05  0.1575E-05
  282.49 0.1308E+00   182.72  0.1492E-03  0.1458E-03  0.1527E-03  0.1465E-03  0.1519E-03  0.1455E-05  0.1263E-05  0.1676E-05  0.1428E-05  0.1482E-05
  276.08 0.1487E+00   183.04  0.1630E-03  0.1597E-03  0.1663E-03  0.1601E-03  0.1658E-03  0.1356E-05  0.1177E-05  0.1562E-05  0.1332E-05  0.1380E-05
  269.70 0.1691E+00   183.00  0.1772E-03  0.1741E-03  0.1804E-03  0.1744E-03  0.1801E-03  0.1256E-05  0.1090E-05  0.1447E-05  0.1236E-05  0.1276E-05
  263.35 0.1924E+00   182.49  0.1918E-03  0.1888E-03  0.1947E-03  0.1890E-03  0.1946E-03  0.1160E-05  0.1007E-05  0.1336E-05  0.1143E-05  0.1177E-05
  257.06 0.2188E+00   181.79  0.2069E-03  0.2040E-03  0.2098E-03  0.2042E-03  0.2096E-03  0.1069E-05  0.9280E-06  0.1231E-05  0.1055E-05  0.1083E-05
  250.81 0.2488E+00   180.91  0.2235E-03  0.2206E-03  0.2265E-03  0.2208E-03  0.2263E-03  0.9855E-06  0.8555E-06  0.1135E-05  0.9734E-06  0.9976E-06
  244.63 0.2829E+00   179.92  0.2434E-03  0.2403E-03  0.2466E-03  0.2406E-03  0.2463E-03  0.9092E-06  0.7893E-06  0.1047E-05  0.8986E-06  0.9199E-06
  238.52 0.3218E+00   178.73  0.2681E-03  0.2648E-03  0.2715E-03  0.2651E-03  0.2712E-03  0.8412E-06  0.7302E-06  0.9690E-06  0.8317E-06  0.8508E-06
