
                       712.985 cm-1
                                HAZE
  320.78  0.60443E-01  174.82    0.12337E-02  0.15198E-02  0.18615E-02  0.24105E-02  0.32049E-02  0.43719E-02  0.63000E-02  0.96851E-02  0.16058E-01  0.31316E-01  0.55360E-01
  314.46  0.68739E-01  176.50    0.14934E-02  0.18413E-02  0.22578E-02  0.29278E-02  0.39010E-02  0.53408E-02  0.77433E-02  0.12029E-01  0.20362E-01  0.42017E-01  0.85462E-01
  308.11  0.78175E-01  178.11    0.18540E-02  0.22887E-02  0.28103E-02  0.36508E-02  0.48768E-02  0.67052E-02  0.97917E-02  0.15406E-01  0.26788E-01  0.60423E-01  0.24778E+00
  301.73  0.88905E-01  179.64    0.23497E-02  0.29048E-02  0.35729E-02  0.46514E-02  0.62324E-02  0.86120E-02  0.12684E-01  0.20272E-01  0.36544E-01  0.97333E-01  0.00000E+00
  295.32  0.10111E+00  181.01    0.30166E-02  0.37360E-02  0.46044E-02  0.60100E-02  0.80819E-02  0.11233E-01  0.16715E-01  0.27245E-01  0.51690E-01  0.25968E+00  0.00000E+00
  288.91  0.11499E+00  182.10    0.38838E-02  0.48204E-02  0.59553E-02  0.77975E-02  0.10531E-01  0.14739E-01  0.22205E-01  0.37120E-01  0.76153E-01  0.50586E-01  0.00000E+00
  282.49  0.13077E+00  182.72    0.49537E-02  0.61643E-02  0.76375E-02  0.10037E-01  0.13625E-01  0.19228E-01  0.29411E-01  0.50847E-01  0.11966E+00  0.00000E+00  0.00000E+00
  276.08  0.14872E+00  183.04    0.62642E-02  0.78182E-02  0.97186E-02  0.12828E-01  0.17516E-01  0.24962E-01  0.38907E-01  0.70463E-01  0.23449E+00  0.00000E+00  0.00000E+00
  269.70  0.16913E+00  183.00    0.77732E-02  0.97343E-02  0.12146E-01  0.16112E-01  0.22153E-01  0.31940E-01  0.50980E-01  0.98898E-01  0.26146E+00  0.00000E+00  0.00000E+00
  263.35  0.19235E+00  182.49    0.93766E-02  0.11787E-01  0.14771E-01  0.19708E-01  0.27318E-01  0.39945E-01  0.65756E-01  0.14287E+00  0.00000E+00  0.00000E+00  0.00000E+00
