Wavenumber	NESR 6.60 cm-1
566.48157	8.64758E-08
566.61987	8.55644E-08
566.75818	8.41490E-08
566.89648	8.23507E-08
567.03479	8.02952E-08
567.17310	7.80949E-08
567.31140	7.58376E-08
567.44965	7.35860E-08
567.58795	7.13809E-08
567.72626	6.92470E-08
567.86456	6.71963E-08
568.00287	6.52340E-08
568.14117	6.33603E-08
568.27948	6.15727E-08
568.41779	5.98669E-08
568.55609	5.82387E-08
568.69440	5.66831E-08
568.83270	5.51956E-08
568.97101	5.37716E-08
569.10931	5.24071E-08
569.24762	5.10982E-08
569.38586	4.98415E-08
569.52417	4.86336E-08
569.66248	4.74719E-08
569.80078	4.63536E-08
569.93909	4.52760E-08
570.07739	4.42372E-08
570.21570	4.32348E-08
570.35400	4.22671E-08
570.49231	4.13322E-08
570.63062	4.04284E-08
570.76892	3.95543E-08
570.90723	3.87084E-08
571.04553	3.78894E-08
571.18378	3.70961E-08
571.32208	3.63274E-08
571.46039	3.55822E-08
571.59869	3.48595E-08
571.73700	3.41584E-08
571.87531	3.34780E-08
572.01361	3.28175E-08
572.15192	3.21761E-08
572.29022	3.15530E-08
572.42853	3.09477E-08
572.56683	3.03594E-08
572.70514	2.97876E-08
572.84345	2.92316E-08
572.98175	2.86909E-08
573.12000	2.81650E-08
573.25830	2.76534E-08
573.39661	2.71556E-08
573.53491	2.66712E-08
573.67322	2.61997E-08
573.81152	2.57408E-08
573.94983	2.52940E-08
574.08814	2.48590E-08
574.22644	2.44353E-08
574.36475	2.40227E-08
574.50305	2.36209E-08
574.64136	2.32294E-08
574.77966	2.28480E-08
574.91797	2.24764E-08
575.05621	2.21143E-08
575.19452	2.17614E-08
575.33283	2.14174E-08
575.47113	2.10821E-08
575.60944	2.07553E-08
575.74774	2.04366E-08
575.88605	2.01259E-08
576.02435	1.98229E-08
576.16266	1.95274E-08
576.30096	1.92392E-08
576.43927	1.89581E-08
576.57758	1.86839E-08
576.71588	1.84163E-08
576.85413	1.81552E-08
576.99243	1.79005E-08
577.13074	1.76518E-08
577.26904	1.74091E-08
577.40735	1.71722E-08
577.54565	1.69409E-08
577.68396	1.67151E-08
577.82227	1.64945E-08
577.96057	1.62791E-08
578.09888	1.60687E-08
578.23718	1.58632E-08
578.37549	1.56624E-08
578.51379	1.54662E-08
578.65210	1.52744E-08
578.79034	1.50870E-08
578.92865	1.49037E-08
579.06696	1.47246E-08
579.20526	1.45494E-08
579.34357	1.43780E-08
579.48187	1.42104E-08
579.62018	1.40464E-08
579.75848	1.38860E-08
579.89679	1.37290E-08
580.03510	1.35754E-08
580.17340	1.34250E-08
580.31171	1.32777E-08
580.45001	1.31335E-08
580.58826	1.29923E-08
580.72656	1.28540E-08
580.86487	1.27184E-08
581.00317	1.25856E-08
581.14148	1.24555E-08
581.27979	1.23279E-08
581.41809	1.22029E-08
581.55640	1.20802E-08
581.69470	1.19600E-08
581.83301	1.18420E-08
581.97131	1.17263E-08
582.10962	1.16128E-08
582.24793	1.15014E-08
582.38623	1.13920E-08
582.52448	1.12846E-08
582.66278	1.11792E-08
582.80109	1.10756E-08
582.93939	1.09739E-08
583.07770	1.08740E-08
583.21600	1.07759E-08
583.35431	1.06794E-08
583.49262	1.05846E-08
583.63092	1.04914E-08
583.76923	1.03998E-08
583.90753	1.03097E-08
584.04584	1.02211E-08
584.18414	1.01339E-08
584.32239	1.00481E-08
584.46069	9.96377E-09
584.59900	9.88073E-09
584.73731	9.79901E-09
584.87561	9.71858E-09
585.01392	9.63939E-09
585.15222	9.56142E-09
585.29053	9.48465E-09
585.42883	9.40905E-09
585.56714	9.33458E-09
585.70544	9.26121E-09
585.84375	9.18892E-09
585.98206	9.11769E-09
586.12036	9.04752E-09
586.25861	8.97834E-09
586.39691	8.91016E-09
586.53522	8.84295E-09
586.67352	8.77669E-09
586.81183	8.71137E-09
586.95013	8.64694E-09
587.08844	8.58342E-09
587.22675	8.52077E-09
587.36505	8.45899E-09
587.50336	8.39804E-09
587.64166	8.33793E-09
587.77997	8.27861E-09
587.91827	8.22010E-09
588.05652	8.16237E-09
588.19482	8.10540E-09
588.33313	8.04919E-09
588.47144	7.99372E-09
588.60974	7.93896E-09
588.74805	7.88494E-09
588.88635	7.83161E-09
589.02466	7.77897E-09
589.16296	7.72700E-09
589.30127	7.67572E-09
589.43958	7.62508E-09
589.57788	7.57511E-09
589.71619	7.52576E-09
589.85449	7.47704E-09
589.99274	7.42895E-09
590.13104	7.38146E-09
590.26935	7.33458E-09
590.40765	7.28829E-09
590.54596	7.24259E-09
590.68427	7.19746E-09
590.82257	7.15288E-09
590.96088	7.10887E-09
591.09918	7.06541E-09
591.23749	7.02250E-09
591.37579	6.98011E-09
591.51410	6.93825E-09
591.65241	6.89693E-09
591.79071	6.85611E-09
591.92896	6.81581E-09
592.06726	6.77600E-09
592.20557	6.73669E-09
592.34387	6.69787E-09
592.48218	6.65953E-09
592.62048	6.62165E-09
592.75879	6.58425E-09
592.89710	6.54732E-09
593.03540	6.51085E-09
593.17371	6.47484E-09
593.31201	6.43928E-09
593.45032	6.40415E-09
593.58862	6.36947E-09
593.72687	6.33521E-09
593.86517	6.30138E-09
594.00348	6.26797E-09
594.14179	6.23497E-09
594.28009	6.20238E-09
594.41840	6.17019E-09
594.55670	6.13841E-09
594.69501	6.10702E-09
594.83331	6.07601E-09
594.97162	6.04541E-09
595.10992	6.01516E-09
595.24823	5.98532E-09
595.38654	5.95584E-09
595.52484	5.92674E-09
595.66309	5.89800E-09
595.80139	5.86963E-09
595.93970	5.84161E-09
596.07800	5.81395E-09
596.21631	5.78663E-09
596.35461	5.75966E-09
596.49292	5.73304E-09
596.63123	5.70676E-09
596.76953	5.68081E-09
596.90784	5.65519E-09
597.04614	5.62990E-09
597.18445	5.60495E-09
597.32275	5.58032E-09
597.46100	5.55600E-09
597.59930	5.53201E-09
597.73761	5.50833E-09
597.87592	5.48496E-09
598.01422	5.46191E-09
598.15253	5.43916E-09
598.29083	5.41671E-09
598.42914	5.39457E-09
598.56744	5.37272E-09
598.70575	5.35117E-09
598.84406	5.32992E-09
598.98236	5.30895E-09
599.12067	5.28829E-09
599.25897	5.26790E-09
599.39722	5.24780E-09
599.53552	5.22797E-09
599.67383	5.20844E-09
599.81213	5.18918E-09
599.95044	5.17020E-09
600.08875	5.15148E-09
600.22705	5.13305E-09
600.36536	5.11488E-09
600.50366	5.09698E-09
600.64197	5.07935E-09
600.78027	5.06198E-09
600.91858	5.04487E-09
601.05689	5.02803E-09
601.19513	5.01144E-09
601.33344	4.99512E-09
601.47174	4.97905E-09
601.61005	4.96323E-09
601.74835	4.94767E-09
601.88666	4.93236E-09
602.02496	4.91730E-09
602.16327	4.90248E-09
602.30158	4.88792E-09
602.43988	4.87359E-09
602.57819	4.85951E-09
602.71649	4.84567E-09
602.85480	4.83206E-09
602.99310	4.81869E-09
603.13135	4.80556E-09
603.26965	4.79266E-09
603.40796	4.77999E-09
603.54627	4.76755E-09
603.68457	4.75534E-09
603.82288	4.74335E-09
603.96118	4.73159E-09
604.09949	4.72006E-09
604.23779	4.70874E-09
604.37610	4.69764E-09
604.51440	4.68675E-09
604.65271	4.67608E-09
604.79102	4.66562E-09
604.92932	4.65537E-09
605.06757	4.64532E-09
605.20587	4.63548E-09
605.34418	4.62585E-09
605.48248	4.61641E-09
605.62079	4.60718E-09
605.75909	4.59814E-09
605.89740	4.58930E-09
606.03571	4.58064E-09
606.17401	4.57217E-09
606.31232	4.56388E-09
606.45062	4.55578E-09
606.58893	4.54786E-09
606.72723	4.54011E-09
606.86548	4.53255E-09
607.00378	4.52515E-09
607.14209	4.51792E-09
607.28040	4.51086E-09
607.41870	4.50396E-09
607.55701	4.49722E-09
607.69531	4.49065E-09
607.83362	4.48422E-09
607.97192	4.47795E-09
608.11023	4.47183E-09
608.24854	4.46586E-09
608.38684	4.46002E-09
608.52515	4.45433E-09
608.66345	4.44878E-09
608.80170	4.44336E-09
608.94000	4.43807E-09
609.07831	4.43291E-09
609.21661	4.42787E-09
609.35492	4.42296E-09
609.49323	4.41816E-09
609.63153	4.41349E-09
609.76984	4.40892E-09
609.90814	4.40447E-09
610.04645	4.40013E-09
610.18475	4.39588E-09
610.32306	4.39175E-09
610.46137	4.38771E-09
610.59961	4.38377E-09
610.73792	4.37992E-09
610.87622	4.37616E-09
611.01453	4.37248E-09
611.15283	4.36890E-09
611.29114	4.36539E-09
611.42944	4.36197E-09
611.56775	4.35863E-09
611.70606	4.35536E-09
611.84436	4.35216E-09
611.98267	4.34904E-09
612.12097	4.34598E-09
612.25928	4.34299E-09
612.39758	4.34007E-09
612.53583	4.33720E-09
612.67413	4.33440E-09
612.81244	4.33166E-09
612.95075	4.32898E-09
613.08905	4.32635E-09
613.22736	4.32378E-09
613.36566	4.32126E-09
613.50397	4.31879E-09
613.64227	4.31638E-09
613.78058	4.31401E-09
613.91888	4.31169E-09
614.05719	4.30942E-09
614.19550	4.30718E-09
614.33374	4.30501E-09
614.47205	4.30287E-09
614.61035	4.30078E-09
614.74866	4.29873E-09
614.88696	4.29673E-09
615.02527	4.29477E-09
615.16357	4.29285E-09
615.30188	4.29097E-09
615.44019	4.28914E-09
615.57849	4.28735E-09
615.71680	4.28560E-09
615.85510	4.28389E-09
615.99341	4.28223E-09
616.13171	4.28062E-09
616.26996	4.27904E-09
616.40826	4.27752E-09
616.54657	4.27603E-09
616.68488	4.27460E-09
616.82318	4.27321E-09
616.96149	4.27187E-09
617.09979	4.27058E-09
617.23810	4.26934E-09
617.37640	4.26815E-09
617.51471	4.26701E-09
617.65302	4.26592E-09
617.79132	4.26489E-09
617.92963	4.26391E-09
618.06787	4.26298E-09
618.20618	4.26211E-09
618.34448	4.26129E-09
618.48279	4.26055E-09
618.62109	4.25986E-09
618.75940	4.25924E-09
618.89771	4.25867E-09
619.03601	4.25817E-09
619.17432	4.25773E-09
619.31262	4.25736E-09
619.45093	4.25705E-09
619.58923	4.25681E-09
619.72754	4.25664E-09
619.86585	4.25653E-09
620.00409	4.25649E-09
620.14240	4.25653E-09
620.28070	4.25663E-09
620.41901	4.25681E-09
620.55731	4.25705E-09
620.69562	4.25737E-09
620.83392	4.25776E-09
620.97223	4.25823E-09
621.11054	4.25876E-09
621.24884	4.25938E-09
621.38715	4.26006E-09
621.52545	4.26082E-09
621.66376	4.26166E-09
621.80206	4.26257E-09
621.94031	4.26355E-09
622.07861	4.26461E-09
622.21692	4.26575E-09
622.35523	4.26695E-09
622.49353	4.26823E-09
622.63184	4.26957E-09
622.77014	4.27099E-09
622.90845	4.27248E-09
623.04675	4.27404E-09
623.18506	4.27567E-09
623.32336	4.27737E-09
623.46167	4.27913E-09
623.59998	4.28095E-09
623.73822	4.28284E-09
623.87653	4.28480E-09
624.01483	4.28681E-09
624.15314	4.28888E-09
624.29144	4.29101E-09
624.42975	4.29319E-09
624.56805	4.29543E-09
624.70636	4.29772E-09
624.84467	4.30006E-09
624.98297	4.30245E-09
625.12128	4.30489E-09
625.25958	4.30736E-09
625.39789	4.30988E-09
625.53619	4.31244E-09
625.67444	4.31503E-09
625.81274	4.31766E-09
625.95105	4.32032E-09
626.08936	4.32300E-09
626.22766	4.32571E-09
626.36597	4.32844E-09
626.50427	4.33120E-09
626.64258	4.33397E-09
626.78088	4.33675E-09
626.91919	4.33955E-09
627.05750	4.34235E-09
627.19580	4.34517E-09
627.33411	4.34798E-09
627.47235	4.35080E-09
627.61066	4.35362E-09
627.74896	4.35643E-09
627.88727	4.35924E-09
628.02557	4.36204E-09
628.16388	4.36483E-09
628.30219	4.36760E-09
628.44049	4.37036E-09
628.57880	4.37309E-09
628.71710	4.37581E-09
628.85541	4.37850E-09
628.99371	4.38117E-09
629.13202	4.38381E-09
629.27033	4.38641E-09
629.40857	4.38899E-09
629.54688	4.39153E-09
629.68518	4.39403E-09
629.82349	4.39650E-09
629.96179	4.39893E-09
630.10010	4.40132E-09
630.23840	4.40366E-09
630.37671	4.40596E-09
630.51502	4.40821E-09
630.65332	4.41042E-09
630.79163	4.41258E-09
630.92993	4.41469E-09
631.06824	4.41675E-09
631.20648	4.41877E-09
631.34479	4.42074E-09
631.48309	4.42266E-09
631.62140	4.42453E-09
631.75971	4.42635E-09
631.89801	4.42811E-09
632.03632	4.42983E-09
632.17462	4.43150E-09
