   508.372 0.110E-240.075  2210.678    12202    11101 41  2 32  3 Q 18 0.74 626  2
   508.419 0.106E-240.074  2241.195    12202    11101 41  2 32  3 Q 20 0.76 626  2
   508.445 0.107E-240.078  2147.906    12202    11101 42  1 31  3 Q 13 0.69 626  2
   508.455 0.963E-260.072  1603.849    11102    10001 31  1 21  3 P 24 0.78 636  2
   508.470 0.990E-250.073  2274.840    12202    11101 41  2 32  3 Q 22 0.77 626  2
   508.525 0.907E-250.072  2311.612    12202    11101 41  2 32  3 Q 24 0.78 626  2
   508.533 0.111E-240.077  2170.547    12202    11101 42  1 31  3 Q 15 0.70 626  2
   508.584 0.813E-250.072  2351.512    12202    11101 41  2 32  3 Q 26 0.78 626  2
   508.602 0.604E-260.070  1883.770    11102    10001 31  1 21  3 P 37 0.78 628  2
   508.633 0.111E-240.076  2196.309    12202    11101 42  1 31  3 Q 17 0.73 626  2
   508.638 0.241E-260.069  2884.465    20003    11101 41  1 31  3 R 45 0.77 626  2
   508.648 0.714E-250.071  2394.539    12202    11101 41  2 32  3 Q 28 0.78 626  2
   508.716 0.615E-250.071  2440.691    12202    11101 41  2 32  3 Q 30 0.78 626  2
   508.745 0.108E-240.074  2225.193    12202    11101 42  1 31  3 Q 19 0.75 626  2
   508.788 0.520E-250.070  2489.969    12202    11101 41  2 32  3 Q 32 0.78 626  2
   508.863 0.431E-250.070  2542.372    12202    11101 41  2 32  3 Q 34 0.78 626  2
   508.869 0.103E-240.073  2257.198    12202    11101 42  1 31  3 Q 21 0.76 626  2
   508.943 0.351E-250.070  2597.898    12202    11101 41  2 32  3 Q 36 0.78 626  2
   509.004 0.952E-250.073  2292.323    12202    11101 42  1 31  3 Q 23 0.77 626  2
   509.026 0.281E-250.070  2656.547    12202    11101 41  2 32  3 Q 38 0.78 626  2
   509.112 0.220E-250.069  2718.318    12202    11101 41  2 32  3 Q 40 0.78 626  2
   509.151 0.863E-250.072  2330.569    12202    11101 42  1 31  3 Q 25 0.78 626  2
   509.201 0.170E-250.069  2783.210    12202    11101 41  2 32  3 Q 42 0.78 626  2
   509.293 0.129E-250.069  2851.222    12202    11101 41  2 32  3 Q 44 0.78 626  2
   509.310 0.767E-250.071  2371.934    12202    11101 42  1 31  3 Q 27 0.78 626  2
   509.342 0.673E-260.070  1856.521    11102    10001 31  1 21  3 P 36 0.78 628  2
   509.388 0.964E-260.069  2922.354    12202    11101 41  2 32  3 Q 46 0.77 626  2
   509.436 0.375E-240.069  2231.237    11102    10001 31  1 21  3 P 46 0.77 626  2
   509.480 0.667E-250.071  2416.417    12202    11101 42  1 31  3 Q 29 0.78 626  2
   509.486 0.707E-260.068  2996.604    12202    11101 41  2 32  3 Q 48 0.77 626  2
   509.586 0.510E-260.068  3073.970    12202    11101 41  2 32  3 Q 50 0.76 626  2
   509.661 0.570E-250.070  2464.018    12202    11101 42  1 31  3 Q 31 0.78 626  2
   509.688 0.362E-260.068  3154.453    12202    11101 41  2 32  3 Q 52 0.75 626  2
   509.737 0.337E-250.092  2077.637    12202    11101 41  2 31  2 R  1 0.75 626  2
   509.791 0.253E-260.067  3238.050    12202    11101 41  2 32  3 Q 54 0.75 626  2
   509.852 0.477E-250.070  2514.737    12202    11101 42  1 31  3 Q 33 0.78 626  2
   509.896 0.174E-260.067  3324.761    12202    11101 41  2 32  3 Q 56 0.74 626  2
   509.902 0.105E-250.073  1567.228    11102    10001 31  1 21  3 P 22 0.77 636  2
   510.002 0.117E-260.066  3414.584    12202    11101 41  2 32  3 Q 58 0.73 626  2
   510.007 0.206E-260.069  3437.469    21102    20001 51  3 41  6 P 40 0.78 626  2
   510.055 0.393E-250.070  2568.572    12202    11101 42  1 31  3 Q 35 0.78 626  2
   510.082 0.746E-260.070  1830.007    11102    10001 31  1 21  3 P 35 0.78 628  2
   510.268 0.317E-250.070  2625.523    12202    11101 42  1 31  3 Q 37 0.78 626  2
   510.280 0.179E-260.068  2956.981    20003    11101 41  1 31  3 R 47 0.77 626  2
   510.337 0.426E-260.092  2673.481    21103    20002 52  1 41  3 Q  2 0.75 626  2
   510.376 0.749E-260.089  2678.934    21103    20002 52  1 41  3 Q  4 0.74 626  2
   510.437 0.104E-250.086  2687.504    21103    20002 52  1 41  3 Q  6 0.73 626  2
