   643.183 0.103E-21        808.360        1081069                            53
   643.192 0.635E-22       1010.273        1080048                            53
   643.205 0.652E-22        795.189        1081070                            53
   643.208 0.714E-22       1001.097        1080049                            53
   643.224 0.596E-22        991.730        1080050                            53
   643.225 0.118E-22       1197.778        1079000                            53
   643.225 0.434E-22       1197.683        1079001                            53
   643.226 0.355E-22       1197.400        1079002                            53
   643.226 0.553E-22       1196.928        1079003                            53
   643.227 0.356E-22       1196.266        1079004                            53
   643.228 0.778E-22        781.828        1081071                            53
   643.229 0.437E-22       1195.416        1079005                            53
   643.231 0.398E-22       1194.377        1079006                            53
   643.233 0.440E-22       1193.149        1079007                            53
   643.235 0.362E-22       1191.732        1079008                            53
   643.238 0.565E-22       1190.126        1079009                            53
   643.240 0.946E-22        982.174        1080051                            53
   643.241 0.365E-22       1188.331        1079010                            53
   643.244 0.449E-22       1186.347        1079011                            53
   643.248 0.411E-22       1184.175        1079012                            53
   643.250 0.684E-22        768.276        1081072                            53
   643.252 0.456E-22       1181.813        1079013                            53
   643.256 0.620E-22        972.428        1080052                            53
   643.256 0.376E-22       1179.262        1079014                            53
   643.261 0.590E-22       1176.522        1079015                            53
   643.266 0.383E-22       1173.593        1079016                            53
   643.271 0.472E-22       1170.475        1079017                            53
   643.273 0.773E-22        962.492        1080053                            53
   643.273 0.720E-22        754.533        1081073                            53
   643.276 0.434E-22       1167.169        1079018                            53
   643.282 0.482E-22       1163.673        1079019                            53
   643.289 0.399E-22       1159.988        1079020                            53
   643.290 0.716E-22        952.366        1080054                            53
   643.295 0.628E-22       1156.114        1079021                            53
   643.297 0.555E-22        740.600        1081074                            53
   643.302 0.409E-22       1152.050        1079022                            53
   643.307 0.802E-22        942.050        1080055                            53
   643.309 0.506E-22       1147.798        1079023                            53
   643.317 0.466E-22       1143.357        1079024                            53
   643.320 0.798E-22        726.475        1081075                            53
   643.324 0.520E-22       1138.726        1079025                            53
   643.325 0.668E-22        931.544        1080056                            53
   643.332 0.431E-22       1133.906        1079026                            53
   643.341 0.681E-22       1128.898        1079027                            53
   643.343 0.106E-21        920.848        1080057                            53
   643.344 0.461E-22        712.159        1081076                            53
   643.350 0.445E-22       1123.699        1079028                            53
   643.359 0.552E-22       1118.312        1079029                            53
   643.361 0.690E-22        909.962        1080058                            53
   643.368 0.510E-22       1112.736        1079030                            53
   643.369 0.487E-22        697.652        1081077                            53
   643.378 0.570E-22       1106.970        1079031                            53
   643.379 0.856E-22        898.885        1080059                            53
   643.388 0.475E-22       1101.015        1079032                            53
   643.393 0.359E-22        682.954        1081078                            53
   643.398 0.751E-22       1094.870        1079033                            53
   643.398 0.789E-22        887.618        1080060                            53
   643.409 0.492E-22       1088.536        1079034                            53
   643.418 0.878E-22        876.161        1080061                            53
   643.418 0.285E-22        668.065        1081079                            53
   643.420 0.612E-22       1082.013        1079035                            53
   643.431 0.567E-22       1075.300        1079036                            53
   643.437 0.725E-22        864.514        1080062                            53
   643.443 0.635E-22       1068.398        1079037                            53
   643.443 0.126E-22        652.984        1081080                            53
   643.455 0.529E-22       1061.307        1079038                            53
   643.457 0.114E-21        852.676        1080063                            53
   643.467 0.840E-22       1054.026        1079039                            53
   643.477 0.734E-22        840.648        1080064                            53
   643.479 0.550E-22       1046.556        1079040                            53
   643.492 0.686E-22       1038.896        1079041                            53
   643.498 0.899E-22        828.429        1080065                            53
   643.506 0.636E-22       1031.046        1079042                            53
   643.519 0.816E-22        816.020        1080066                            53
   643.519 0.714E-22       1023.007        1079043                            53
   643.533 0.596E-22       1014.778        1079044                            53
   643.540 0.892E-22        803.420        1080067                            53
   643.547 0.946E-22       1006.360        1079045                            53
   643.561 0.722E-22        790.630        1080068                            53
   643.562 0.620E-22        997.751        1079046                            53
   643.576 0.773E-22        988.953        1079047                            53
   643.583 0.110E-21        777.648        1080069                            53
   643.592 0.717E-22        979.966        1079048                            53
   643.605 0.692E-22        764.476        1080070                            53
   643.607 0.805E-22        970.788        1079049                            53
   643.623 0.671E-22        961.421        1079050                            53
   643.623 0.315E-22       1167.872        1078000                            53
   643.624 0.495E-22       1167.778        1078001                            53
   643.624 0.406E-22       1167.494        1078002                            53
   643.625 0.632E-22       1167.022        1078003                            53
   643.626 0.407E-22       1166.360        1078004                            53
   643.627 0.818E-22        751.114        1080071                            53
   643.627 0.499E-22       1165.510        1078005                            53
   643.629 0.455E-22       1164.471        1078006                            53
   643.631 0.503E-22       1163.243        1078007                            53
   643.634 0.413E-22       1161.826        1078008                            53
   643.636 0.646E-22       1160.220        1078009                            53
   643.639 0.106E-21        951.864        1079051                            53
   643.639 0.417E-22       1158.424        1078010                            53
   643.643 0.513E-22       1156.440        1078011                            53
   643.646 0.470E-22       1154.267        1078012                            53
   643.650 0.711E-22        737.560        1080072                            53
   643.650 0.520E-22       1151.905        1078013                            53
   643.655 0.429E-22       1149.354        1078014                            53
   643.655 0.697E-22        942.116        1079052                            53
   643.659 0.673E-22       1146.614        1078015                            53
   643.664 0.437E-22       1143.685        1078016                            53
   643.670 0.539E-22       1140.567        1078017                            53
   643.672 0.868E-22        932.179        1079053                            53
   643.673 0.736E-22        723.816        1080073                            53
   643.675 0.495E-22       1137.259        1078018                            53
   643.681 0.550E-22       1133.763        1078019                            53
   643.687 0.455E-22       1130.078        1078020                            53
   643.689 0.803E-22        922.052        1079054                            53
   643.694 0.716E-22       1126.203        1078021                            53
   643.697 0.556E-22        709.881        1080074                            53
   643.701 0.466E-22       1122.139        1078022                            53
   643.706 0.898E-22        911.735        1079055                            53
   643.708 0.577E-22       1117.887        1078023                            53
   643.715 0.531E-22       1113.445        1078024                            53
   643.720 0.777E-22        695.754        1080075                            53
   643.723 0.592E-22       1108.814        1078025                            53
   643.724 0.747E-22        901.228        1079056                            53
   643.731 0.491E-22       1103.993        1078026                            53
   643.740 0.776E-22       1098.984        1078027                            53
   643.742 0.118E-21        890.530        1079057                            53
   643.744 0.431E-22        681.437        1080076                            53
   643.748 0.506E-22       1093.785        1078028                            53
   643.757 0.628E-22       1088.397        1078029                            53
   643.760 0.768E-22        879.643        1079058                            53
   643.767 0.580E-22       1082.820        1078030                            53
   643.769 0.427E-22        666.928        1080077                            53
   643.777 0.649E-22       1077.054        1078031                            53
   643.779 0.951E-22        868.565        1079059                            53
   643.787 0.540E-22       1071.098        1078032                            53
   643.793 0.280E-22        652.228        1080078                            53
   643.797 0.854E-22       1064.953        1078033                            53
   643.798 0.874E-22        857.297        1079060                            53
   643.808 0.558E-22       1058.618        1078034                            53
   643.817 0.969E-22        845.838        1079061                            53
   643.818 0.166E-22        637.337        1080079                            53
   643.819 0.695E-22       1052.094        1078035                            53
   643.830 0.643E-22       1045.381        1078036                            53
   643.837 0.798E-22        834.190        1079062                            53
   643.842 0.720E-22       1038.478        1078037                            53
   643.853 0.600E-22       1031.386        1078038                            53
   643.856 0.125E-21        822.350        1079063                            53
   643.866 0.951E-22       1024.104        1078039                            53
   643.877 0.802E-22        810.321        1079064                            53
   643.878 0.623E-22       1016.633        1078040                            53
   643.891 0.776E-22       1008.972        1078041                            53
   643.897 0.978E-22        798.101        1079065                            53
   643.904 0.719E-22       1001.121        1078042                            53
   643.918 0.807E-22        993.081        1078043                            53
   643.918 0.883E-22        785.690        1079066                            53
   643.932 0.673E-22        984.851        1078044                            53
   643.939 0.960E-22        773.089        1079067                            53
   643.946 0.107E-21        976.432        1078045                            53
   643.960 0.699E-22        967.823        1078046                            53
   643.961 0.772E-22        760.297        1079068                            53
   643.975 0.871E-22        959.024        1078047                            53
   643.982 0.117E-21        747.314        1079069                            53
   643.990 0.807E-22        950.035        1078048                            53
   644.005 0.727E-22        734.141        1079070                            53
   644.006 0.905E-22        940.857        1078049                            53
   644.022 0.754E-22        931.488        1078050                            53
   644.022 0.154E-22       1138.343        1077000                            53
   644.022 0.565E-22       1138.248        1077001                            53
   644.022 0.463E-22       1137.965        1077002                            53
   644.023 0.721E-22       1137.493        1077003                            53
   644.024 0.464E-22       1136.831        1077004                            53
   644.026 0.569E-22       1135.981        1077005                            53
   644.027 0.848E-22        720.777        1079071                            53
   644.028 0.519E-22       1134.941        1077006                            53
   644.030 0.573E-22       1133.713        1077007                            53
   644.032 0.471E-22       1132.296        1077008                            53
   644.035 0.736E-22       1130.689        1077009                            53
   644.038 0.119E-21        921.930        1078051                            53
   644.038 0.476E-22       1128.894        1077010                            53
   644.041 0.585E-22       1126.910        1077011                            53
   644.045 0.535E-22       1124.737        1077012                            53
   644.049 0.593E-22       1122.374        1077013                            53
   644.050 0.725E-22        707.222        1079072                            53
   644.053 0.489E-22       1119.823        1077014                            53
   644.054 0.781E-22        912.182        1078052                            53
   644.058 0.767E-22       1117.082        1077015                            53
   644.063 0.497E-22       1114.153        1077016                            53
   644.068 0.614E-22       1111.034        1077017                            53
   644.071 0.971E-22        902.243        1078053                            53
   644.073 0.736E-22        693.476        1079073                            53
   644.073 0.563E-22       1107.727        1077018                            53
   644.079 0.626E-22       1104.230        1077019                            53
   644.086 0.518E-22       1100.544        1077020                            53
   644.088 0.897E-22        892.115        1078054                            53
   644.092 0.815E-22       1096.669        1077021                            53
   644.096 0.541E-22        679.539        1079074                            53
   644.099 0.530E-22       1092.605        1077022                            53
   644.105 0.100E-21        881.797        1078055                            53
   644.106 0.656E-22       1088.352        1077023                            53
   644.114 0.604E-22       1083.910        1077024                            53
   644.120 0.725E-22        665.411        1079075                            53
   644.121 0.673E-22       1079.278        1077025                            53
   644.123 0.831E-22        871.288        1078056                            53
   644.130 0.559E-22       1074.457        1077026                            53
   644.138 0.881E-22       1069.447        1077027                            53
   644.141 0.131E-21        860.590        1078057                            53
   644.144 0.377E-22        651.091        1079076                            53
   644.147 0.575E-22       1064.248        1077028                            53
   644.156 0.713E-22       1058.859        1077029                            53
   644.159 0.852E-22        849.701        1078058                            53
   644.165 0.659E-22       1053.281        1077030                            53
   644.168 0.332E-22        636.581        1079077                            53
   644.175 0.736E-22       1047.514        1077031                            53
   644.178 0.105E-21        838.622        1078059                            53
   644.185 0.612E-22       1041.558        1077032                            53
   644.193 0.163E-22        621.880        1079078                            53
   644.195 0.968E-22       1035.412        1077033                            53
   644.197 0.963E-22        827.352        1078060                            53
   644.206 0.633E-22       1029.077        1077034                            53
   644.216 0.107E-21        815.893        1078061                            53
   644.217 0.787E-22       1022.552        1077035                            53
   644.228 0.728E-22       1015.838        1077036                            53
   644.236 0.875E-22        804.242        1078062                            53
   644.240 0.815E-22       1008.934        1077037                            53
   644.252 0.679E-22       1001.841        1077038                            53
   644.256 0.136E-21        792.402        1078063                            53
   644.264 0.108E-21        994.559        1077039                            53
   644.276 0.872E-22        780.371        1078064                            53
   644.277 0.704E-22        987.086        1077040                            53
   644.290 0.877E-22        979.425        1077041                            53
   644.296 0.106E-21        768.149        1078065                            53
   644.303 0.812E-22        971.573        1077042                            53
   644.317 0.910E-22        963.532        1077043                            53
   644.317 0.949E-22        755.737        1078066                            53
   644.330 0.758E-22        955.302        1077044                            53
   644.338 0.102E-21        743.135        1078067                            53
   644.345 0.120E-21        946.881        1077045                            53
   644.359 0.786E-22        938.271        1077046                            53
   644.360 0.817E-22        730.341        1078068                            53
   644.374 0.979E-22        929.471        1077047                            53
   644.382 0.123E-21        717.357        1078069                            53
   644.389 0.906E-22        920.482        1077048                            53
   644.404 0.752E-22        704.182        1078070                            53
   644.405 0.101E-21        911.302        1077049                            53
   644.420 0.409E-22       1109.190        1076000                            53
   644.420 0.643E-22       1109.096        1076001                            53
