Wavenumber	NESR 2.85 cm-1
1019.53296	1.50203E-08
1019.65741	1.50107E-08
1019.78186	1.49977E-08
1019.90631	1.49813E-08
1020.03076	1.49615E-08
1020.15521	1.49384E-08
1020.27966	1.49121E-08
1020.40411	1.48827E-08
1020.52863	1.48502E-08
1020.65308	1.48147E-08
1020.77753	1.47765E-08
1020.90198	1.47356E-08
1021.02643	1.46921E-08
1021.15088	1.46461E-08
1021.27533	1.45980E-08
1021.39978	1.45476E-08
1021.52423	1.44953E-08
1021.64868	1.44411E-08
1021.77313	1.43851E-08
1021.89758	1.43277E-08
1022.02203	1.42687E-08
1022.14648	1.42084E-08
1022.27094	1.41469E-08
1022.39545	1.40843E-08
1022.51990	1.40208E-08
1022.64435	1.39563E-08
1022.76880	1.38912E-08
1022.89325	1.38253E-08
1023.01770	1.37589E-08
1023.14215	1.36920E-08
1023.26660	1.36246E-08
1023.39105	1.35569E-08
1023.51550	1.34889E-08
1023.63995	1.34206E-08
1023.76440	1.33523E-08
1023.88886	1.32837E-08
1024.01331	1.32152E-08
1024.13782	1.31466E-08
1024.26221	1.30781E-08
1024.38672	1.30095E-08
1024.51111	1.29411E-08
1024.63562	1.28728E-08
1024.76001	1.28047E-08
1024.88452	1.27367E-08
1025.00891	1.26689E-08
1025.13342	1.26013E-08
1025.25794	1.25340E-08
1025.38232	1.24669E-08
1025.50684	1.24001E-08
1025.63123	1.23336E-08
1025.75574	1.22673E-08
1025.88013	1.22014E-08
1026.00464	1.21358E-08
1026.12903	1.20705E-08
1026.25354	1.20056E-08
1026.37793	1.19410E-08
1026.50244	1.18768E-08
1026.62683	1.18128E-08
1026.75134	1.17493E-08
1026.87573	1.16862E-08
1027.00024	1.16234E-08
1027.12476	1.15610E-08
1027.24915	1.14989E-08
1027.37366	1.14373E-08
1027.49805	1.13760E-08
1027.62256	1.13152E-08
1027.74695	1.12547E-08
1027.87146	1.11947E-08
1027.99585	1.11350E-08
1028.12036	1.10757E-08
1028.24475	1.10169E-08
1028.36926	1.09584E-08
1028.49365	1.09003E-08
1028.61816	1.08426E-08
1028.74255	1.07854E-08
1028.86707	1.07285E-08
1028.99158	1.06720E-08
1029.11597	1.06160E-08
1029.24048	1.05603E-08
1029.36487	1.05051E-08
1029.48938	1.04503E-08
1029.61377	1.03958E-08
1029.73828	1.03418E-08
1029.86267	1.02881E-08
1029.98718	1.02349E-08
1030.11157	1.01821E-08
1030.23608	1.01296E-08
1030.36047	1.00775E-08
1030.48499	1.00259E-08
1030.60938	9.97461E-09
1030.73389	9.92373E-09
1030.85828	9.87323E-09
1030.98279	9.82312E-09
1031.10730	9.77338E-09
1031.23169	9.72404E-09
1031.35620	9.67507E-09
1031.48059	9.62648E-09
1031.60510	9.57826E-09
1031.72949	9.53041E-09
1031.85400	9.48292E-09
1031.97839	9.43580E-09
1032.10291	9.38904E-09
1032.22730	9.34264E-09
1032.35181	9.29660E-09
1032.47620	9.25091E-09
1032.60071	9.20556E-09
1032.72510	9.16057E-09
1032.84961	9.11591E-09
1032.97412	9.07160E-09
1033.09851	9.02761E-09
1033.22302	8.98395E-09
1033.34741	8.94064E-09
1033.47192	8.89764E-09
1033.59631	8.85496E-09
1033.72083	8.81261E-09
1033.84522	8.77056E-09
1033.96973	8.72883E-09
1034.09412	8.68740E-09
1034.21863	8.64626E-09
1034.34302	8.60543E-09
1034.46753	8.56490E-09
1034.59192	8.52465E-09
1034.71643	8.48469E-09
1034.84094	8.44502E-09
1034.96533	8.40561E-09
1035.08984	8.36649E-09
1035.21423	8.32764E-09
1035.33875	8.28905E-09
1035.46314	8.25073E-09
1035.58765	8.21266E-09
1035.71204	8.17485E-09
1035.83655	8.13729E-09
1035.96094	8.09998E-09
1036.08545	8.06291E-09
1036.20984	8.02608E-09
1036.33435	7.98949E-09
1036.45874	7.95313E-09
1036.58325	7.91700E-09
1036.70776	7.88110E-09
1036.83215	7.84541E-09
1036.95667	7.80994E-09
1037.08106	7.77469E-09
1037.20557	7.73966E-09
1037.32996	7.70483E-09
1037.45447	7.67021E-09
1037.57886	7.63579E-09
1037.70337	7.60156E-09
1037.82776	7.56754E-09
1037.95227	7.53370E-09
1038.07666	7.50006E-09
1038.20117	7.46660E-09
1038.32556	7.43333E-09
1038.45007	7.40024E-09
1038.57459	7.36732E-09
1038.69898	7.33458E-09
1038.82349	7.30202E-09
1038.94788	7.26963E-09
1039.07239	7.23741E-09
1039.19678	7.20535E-09
1039.32129	7.17346E-09
1039.44568	7.14173E-09
1039.57019	7.11016E-09
1039.69458	7.07876E-09
1039.81909	7.04750E-09
1039.94348	7.01641E-09
1040.06799	6.98546E-09
1040.19238	6.95467E-09
1040.31690	6.92404E-09
1040.44141	6.89355E-09
1040.56580	6.86321E-09
1040.69031	6.83302E-09
1040.81470	6.80297E-09
