Wavenumber	NESR 2.85 cm-1
566.48157	1.47036E-07
566.61987	1.45487E-07
566.75818	1.43080E-07
566.89648	1.40022E-07
567.03479	1.36527E-07
567.17310	1.32786E-07
567.31140	1.28948E-07
567.44965	1.25120E-07
567.58795	1.21370E-07
567.72626	1.17742E-07
567.86456	1.14255E-07
568.00287	1.10919E-07
568.14117	1.07733E-07
568.27948	1.04693E-07
568.41779	1.01793E-07
568.55609	9.90242E-08
568.69440	9.63793E-08
568.83270	9.38501E-08
568.97101	9.14288E-08
569.10931	8.91088E-08
569.24762	8.68831E-08
569.38586	8.47463E-08
569.52417	8.26926E-08
569.66248	8.07173E-08
569.80078	7.88158E-08
569.93909	7.69836E-08
570.07739	7.52173E-08
570.21570	7.35129E-08
570.35400	7.18674E-08
570.49231	7.02778E-08
570.63062	6.87411E-08
570.76892	6.72548E-08
570.90723	6.58166E-08
571.04553	6.44240E-08
571.18378	6.30752E-08
571.32208	6.17682E-08
571.46039	6.05011E-08
571.59869	5.92723E-08
571.73700	5.80802E-08
571.87531	5.69233E-08
572.01361	5.58002E-08
572.15192	5.47096E-08
572.29022	5.36502E-08
572.42853	5.26210E-08
572.56683	5.16207E-08
572.70514	5.06484E-08
572.84345	4.97030E-08
572.98175	4.87836E-08
573.12000	4.78894E-08
573.25830	4.70195E-08
573.39661	4.61732E-08
573.53491	4.53495E-08
573.67322	4.45479E-08
573.81152	4.37675E-08
573.94983	4.30078E-08
574.08814	4.22681E-08
574.22644	4.15478E-08
574.36475	4.08463E-08
574.50305	4.01630E-08
574.64136	3.94973E-08
574.77966	3.88488E-08
574.91797	3.82170E-08
575.05621	3.76013E-08
575.19452	3.70012E-08
575.33283	3.64164E-08
575.47113	3.58463E-08
575.60944	3.52905E-08
575.74774	3.47487E-08
575.88605	3.42204E-08
576.02435	3.37053E-08
576.16266	3.32028E-08
576.30096	3.27128E-08
576.43927	3.22348E-08
576.57758	3.17685E-08
576.71588	3.13136E-08
576.85413	3.08697E-08
576.99243	3.04365E-08
577.13074	3.00137E-08
577.26904	2.96010E-08
577.40735	2.91982E-08
577.54565	2.88050E-08
577.68396	2.84209E-08
577.82227	2.80459E-08
577.96057	2.76797E-08
578.09888	2.73220E-08
578.23718	2.69725E-08
578.37549	2.66311E-08
578.51379	2.62974E-08
578.65210	2.59713E-08
578.79034	2.56526E-08
578.92865	2.53411E-08
579.06696	2.50364E-08
579.20526	2.47385E-08
579.34357	2.44472E-08
579.48187	2.41622E-08
579.62018	2.38834E-08
579.75848	2.36107E-08
579.89679	2.33437E-08
580.03510	2.30825E-08
580.17340	2.28267E-08
580.31171	2.25764E-08
580.45001	2.23312E-08
580.58826	2.20910E-08
580.72656	2.18559E-08
580.86487	2.16254E-08
581.00317	2.13996E-08
581.14148	2.11783E-08
581.27979	2.09613E-08
581.41809	2.07487E-08
581.55640	2.05403E-08
581.69470	2.03358E-08
581.83301	2.01352E-08
581.97131	1.99385E-08
582.10962	1.97455E-08
582.24793	1.95560E-08
582.38623	1.93700E-08
582.52448	1.91875E-08
582.66278	1.90082E-08
582.80109	1.88321E-08
582.93939	1.86592E-08
583.07770	1.84893E-08
583.21600	1.83224E-08
583.35431	1.81584E-08
583.49262	1.79972E-08
583.63092	1.78387E-08
583.76923	1.76829E-08
583.90753	1.75297E-08
584.04584	1.73791E-08
584.18414	1.72308E-08
584.32239	1.70850E-08
584.46069	1.69416E-08
584.59900	1.68004E-08
584.73731	1.66614E-08
584.87561	1.65247E-08
585.01392	1.63900E-08
585.15222	1.62575E-08
585.29053	1.61269E-08
585.42883	1.59984E-08
585.56714	1.58717E-08
585.70544	1.57470E-08
585.84375	1.56241E-08
585.98206	1.55030E-08
586.12036	1.53837E-08
586.25861	1.52660E-08
586.39691	1.51501E-08
586.53522	1.50358E-08
586.67352	1.49232E-08
586.81183	1.48121E-08
586.95013	1.47025E-08
587.08844	1.45945E-08
587.22675	1.44880E-08
587.36505	1.43830E-08
587.50336	1.42793E-08
587.64166	1.41771E-08
587.77997	1.40763E-08
587.91827	1.39768E-08
588.05652	1.38786E-08
588.19482	1.37818E-08
588.33313	1.36862E-08
588.47144	1.35919E-08
588.60974	1.34988E-08
588.74805	1.34069E-08
588.88635	1.33162E-08
589.02466	1.32267E-08
589.16296	1.31384E-08
589.30127	1.30512E-08
589.43958	1.29651E-08
589.57788	1.28801E-08
589.71619	1.27962E-08
589.85449	1.27133E-08
589.99274	1.26316E-08
590.13104	1.25508E-08
590.26935	1.24711E-08
590.40765	1.23924E-08
590.54596	1.23147E-08
590.68427	1.22380E-08
590.82257	1.21622E-08
590.96088	1.20873E-08
591.09918	1.20134E-08
591.23749	1.19405E-08
591.37579	1.18684E-08
591.51410	1.17972E-08
591.65241	1.17270E-08
591.79071	1.16576E-08
591.92896	1.15890E-08
592.06726	1.15214E-08
592.20557	1.14545E-08
592.34387	1.13885E-08
592.48218	1.13233E-08
592.62048	1.12589E-08
592.75879	1.11953E-08
592.89710	1.11325E-08
593.03540	1.10705E-08
593.17371	1.10093E-08
593.31201	1.09488E-08
593.45032	1.08891E-08
593.58862	1.08301E-08
593.72687	1.07719E-08
593.86517	1.07143E-08
594.00348	1.06575E-08
594.14179	1.06014E-08
594.28009	1.05460E-08
594.41840	1.04913E-08
594.55670	1.04372E-08
594.69501	1.03839E-08
594.83331	1.03312E-08
594.97162	1.02791E-08
595.10992	1.02277E-08
595.24823	1.01769E-08
595.38654	1.01268E-08
595.52484	1.00773E-08
595.66309	1.00285E-08
595.80139	9.98023E-09
595.93970	9.93259E-09
596.07800	9.88555E-09
596.21631	9.83911E-09
596.35461	9.79326E-09
596.49292	9.74799E-09
596.63123	9.70330E-09
596.76953	9.65917E-09
596.90784	9.61562E-09
597.04614	9.57262E-09
597.18445	9.53020E-09
597.32275	9.48832E-09
597.46100	9.44697E-09
597.59930	9.40617E-09
597.73761	9.36591E-09
597.87592	9.32618E-09
598.01422	9.28698E-09
598.15253	9.24830E-09
598.29083	9.21013E-09
598.42914	9.17249E-09
598.56744	9.13534E-09
598.70575	9.09869E-09
598.84406	9.06255E-09
598.98236	9.02691E-09
599.12067	8.99177E-09
599.25897	8.95711E-09
599.39722	8.92292E-09
599.53552	8.88922E-09
599.67383	8.85600E-09
599.81213	8.82326E-09
599.95044	8.79098E-09
600.08875	8.75916E-09
600.22705	8.72781E-09
600.36536	8.69693E-09
600.50366	8.66649E-09
600.64197	8.63650E-09
600.78027	8.60698E-09
600.91858	8.57789E-09
601.05689	8.54925E-09
601.19513	8.52105E-09
601.33344	8.49329E-09
601.47174	8.46596E-09
601.61005	8.43907E-09
601.74835	8.41261E-09
601.88666	8.38657E-09
602.02496	8.36097E-09
602.16327	8.33577E-09
602.30158	8.31101E-09
602.43988	8.28665E-09
602.57819	8.26271E-09
