   729.111 0.270E-210.096   501.283      V10   GROUND15 7 9   16 8 8   0.82 211 25
   729.769 0.198E-210.099   440.032      V10   GROUND10 8 2   11 9 3   0.82 211 25
   729.769 0.198E-210.099   440.032      V10   GROUND10 8 3   11 9 2   0.82 211 25
   731.200 0.131E-210.097   471.985      V10   GROUND14 7 8   15 8 7   0.82 211 25
   731.200 0.306E-210.097   471.985      V10   GROUND14 7 7   15 8 8   0.82 211 25
   731.771 0.217E-210.096   419.913      V10   GROUND 9 8 1   10 9 2   0.82 211 25
   731.771 0.217E-210.096   419.913      V10   GROUND 9 8 2   10 9 1   0.82 211 25
   733.272 0.148E-210.098   444.523      V10   GROUND13 7 6   14 8 7   0.82 211 25
   733.272 0.345E-210.098   444.523      V10   GROUND13 7 7   14 8 6   0.82 211 25
   733.757 0.237E-210.085   401.623      V10   GROUND 8 8 0    9 9 1   0.82 211 25
   733.757 0.237E-210.085   401.623      V10   GROUND 8 8 1    9 9 0   0.82 211 25
   735.328 0.165E-210.099   418.896      V10   GROUND12 7 6   13 8 5   0.82 211 25
   735.328 0.386E-210.099   418.896      V10   GROUND12 7 5   13 8 6   0.82 211 25
   736.333 0.267E-220.090   898.886      V10   GROUND23 914   231013   0.82 211 25
   736.333 0.624E-220.090   898.886      V10   GROUND23 915   231014   0.82 211 25
   736.450 0.963E-220.093   473.481      V10   GROUND16 610   17 711   0.82 211 25
   736.453 0.967E-220.093   473.481      V10   GROUND16 611   17 710   0.82 211 25
   736.721 0.312E-220.091   856.796      V10   GROUND22 914   221013   0.82 211 25
   736.721 0.727E-220.091   856.796      V10   GROUND22 913   221012   0.82 211 25
   737.094 0.358E-220.092   816.539      V10   GROUND21 912   211011   0.82 211 25
   737.094 0.836E-220.092   816.539      V10   GROUND21 913   211012   0.82 211 25
   737.256 0.105E-210.087   565.777      V10   GROUND20 515   21 616   0.82 211 25
   737.366 0.183E-210.100   395.102      V10   GROUND11 7 4   12 8 5   0.82 211 25
   737.366 0.427E-210.100   395.102      V10   GROUND11 7 5   12 8 4   0.82 211 25
   737.452 0.406E-220.093   778.116      V10   GROUND20 912   201011   0.82 211 25
   737.452 0.948E-220.093   778.116      V10   GROUND20 911   201010   0.82 211 25
   737.793 0.105E-210.094   741.526      V10   GROUND19 911   191010   0.82 211 25
   737.793 0.452E-220.094   741.526      V10   GROUND19 910   1910 9   0.82 211 25
   738.118 0.115E-210.096   706.769      V10   GROUND18 9 9   1810 8   0.82 211 25
   738.118 0.495E-220.096   706.769      V10   GROUND18 910   1810 9   0.82 211 25
   738.426 0.124E-210.097   673.843      V10   GROUND17 9 9   1710 8   0.82 211 25
   738.426 0.531E-220.097   673.843      V10   GROUND17 9 8   1710 7   0.82 211 25
   738.556 0.110E-210.094   442.318      V10   GROUND15 6 9   16 710   0.82 211 25
   738.557 0.111E-210.094   442.318      V10   GROUND15 610   16 7 9   0.82 211 25
   738.718 0.130E-210.098   642.750      V10   GROUND16 9 7   1610 6   0.82 211 25
   738.718 0.556E-220.098   642.750      V10   GROUND16 9 8   1610 7   0.82 211 25
   738.992 0.132E-210.098   613.487      V10   GROUND15 9 7   1510 6   0.82 211 25
   738.992 0.566E-220.098   613.487      V10   GROUND15 9 6   1510 5   0.82 211 25
   739.250 0.130E-210.099   586.055      V10   GROUND14 9 5   1410 4   0.82 211 25
   739.250 0.557E-220.099   586.055      V10   GROUND14 9 6   1410 5   0.82 211 25
   739.338 0.125E-210.088   527.167      V10   GROUND19 515   20 614   0.82 211 25
   739.388 0.201E-210.101   373.142      V10   GROUND10 7 4   11 8 3   0.82 211 25
   739.388 0.469E-210.101   373.142      V10   GROUND10 7 3   11 8 4   0.82 211 25
   739.491 0.122E-210.099   560.453      V10   GROUND13 9 5   1310 4   0.82 211 25
   739.491 0.522E-220.099   560.453      V10   GROUND13 9 4   1310 3   0.82 211 25
   739.715 0.106E-210.098   536.682      V10   GROUND12 9 3   1210 2   0.82 211 25
   739.715 0.457E-220.098   536.682      V10   GROUND12 9 4   1210 3   0.82 211 25
   739.922 0.353E-220.094   514.740      V10   GROUND11 9 2   1110 1   0.82 211 25
   739.922 0.825E-220.094   514.740      V10   GROUND11 9 3   1110 2   0.82 211 25
   740.645 0.125E-210.095   412.996      V10   GROUND14 6 8   15 7 9   0.82 211 25
   740.645 0.125E-210.095   412.996      V10   GROUND14 6 9   15 7 8   0.82 211 25
   741.392 0.220E-210.100   353.014      V10   GROUND 9 7 2   10 8 3   0.82 211 25
   741.392 0.513E-210.100   353.014      V10   GROUND 9 7 3   10 8 2   0.82 211 25
   741.508 0.147E-210.089   490.405      V10   GROUND18 513   19 614   0.82 211 25
   742.717 0.140E-210.097   385.513      V10   GROUND13 6 7   14 7 8   0.82 211 25
   742.717 0.140E-210.097   385.513      V10   GROUND13 6 8   14 7 7   0.82 211 25
   743.378 0.239E-210.098   334.717      V10   GROUND 8 7 2    9 8 1   0.82 211 25
   743.378 0.557E-210.098   334.717      V10   GROUND 8 7 1    9 8 2   0.82 211 25
   743.609 0.171E-210.090   455.502      V10   GROUND17 513   18 612   0.82 211 25
   744.773 0.156E-210.098   359.868      V10   GROUND12 6 6   13 7 7   0.82 211 25
   744.773 0.156E-210.098   359.868      V10   GROUND12 6 7   13 7 6   0.82 211 25
   745.348 0.258E-210.088   318.253      V10   GROUND 7 7 0    8 8 1   0.82 211 25
   745.348 0.602E-210.088   318.253      V10   GROUND 7 7 1    8 8 0   0.82 211 25
   745.731 0.196E-210.091   422.448      V10   GROUND16 511   17 612   0.82 211 25
   746.813 0.172E-210.099   336.060      V10   GROUND11 6 5   12 7 6   0.82 211 25
   746.813 0.172E-210.099   336.060      V10   GROUND11 6 6   12 7 5   0.82 211 25
   747.259 0.517E-220.092   703.558      V10   GROUND20 812   20 911   0.82 211 25
   747.259 0.517E-220.092   703.558      V10   GROUND20 813   20 912   0.82 211 25
   747.594 0.581E-220.093   666.941      V10   GROUND19 811   19 910   0.82 211 25
   747.594 0.581E-220.093   666.941      V10   GROUND19 812   19 911   0.82 211 25
   747.822 0.224E-210.092   391.245      V10   GROUND15 511   16 610   0.82 211 25
   747.827 0.959E-220.092   391.245      V10   GROUND15 510   16 611   0.82 211 25
   747.913 0.641E-220.094   632.160      V10   GROUND18 810   18 9 9   0.82 211 25
   747.913 0.641E-220.094   632.160      V10   GROUND18 811   18 910   0.82 211 25
   748.504 0.737E-220.097   568.102      V10   GROUND16 8 8   16 9 7   0.82 211 25
   748.504 0.737E-220.097   568.102      V10   GROUND16 8 9   16 9 8   0.82 211 25
   748.835 0.188E-210.100   314.088      V10   GROUND10 6 4   11 7 5   0.82 211 25
