Wavenumber	NESR 0.53 cm-1
17.97255	1.77660E-08
18.14537	1.74837E-08
18.31818	1.72096E-08
18.49099	1.69442E-08
18.66381	1.66876E-08
18.83662	1.64399E-08
19.00943	1.62013E-08
19.18225	1.59718E-08
19.35506	1.57513E-08
19.52787	1.55400E-08
19.70068	1.53376E-08
19.87350	1.51440E-08
20.04631	1.49591E-08
20.21912	1.47827E-08
20.39194	1.46147E-08
20.56475	1.44549E-08
20.73756	1.43032E-08
20.91038	1.41593E-08
21.08319	1.40229E-08
21.25600	1.38940E-08
21.42881	1.37721E-08
21.60163	1.36574E-08
21.77444	1.35493E-08
21.94725	1.34479E-08
22.12007	1.33528E-08
22.29288	1.32638E-08
22.46569	1.31808E-08
22.63851	1.31035E-08
22.81132	1.30316E-08
22.98413	1.29651E-08
23.15695	1.29038E-08
23.32976	1.28474E-08
23.50257	1.27958E-08
23.67538	1.27487E-08
23.84820	1.27059E-08
24.02101	1.26673E-08
24.19382	1.26327E-08
24.36664	1.26019E-08
24.53945	1.25748E-08
24.71226	1.25510E-08
24.88508	1.25305E-08
25.05789	1.25131E-08
25.23070	1.24986E-08
25.40351	1.24867E-08
25.57633	1.24774E-08
25.74914	1.24705E-08
25.92195	1.24658E-08
26.09477	1.24630E-08
26.26758	1.24621E-08
26.44039	1.24629E-08
26.61321	1.24652E-08
26.78602	1.24688E-08
26.95883	1.24735E-08
27.13164	1.24793E-08
27.30446	1.24859E-08
27.47727	1.24931E-08
27.65008	1.25008E-08
27.82290	1.25090E-08
27.99571	1.25173E-08
28.16852	1.25257E-08
28.34134	1.25340E-08
28.51415	1.25421E-08
28.68696	1.25498E-08
28.85977	1.25572E-08
29.03259	1.25639E-08
29.20540	1.25699E-08
29.37821	1.25752E-08
29.55103	1.25796E-08
29.72384	1.25830E-08
29.89665	1.25854E-08
30.06947	1.25867E-08
30.24228	1.25868E-08
30.41509	1.25856E-08
30.58790	1.25832E-08
30.76072	1.25794E-08
30.93353	1.25744E-08
31.10634	1.25679E-08
31.27916	1.25601E-08
31.45197	1.25510E-08
31.62478	1.25404E-08
31.79760	1.25286E-08
31.97041	1.25153E-08
32.14322	1.25008E-08
32.31604	1.24850E-08
32.48885	1.24681E-08
32.66166	1.24499E-08
32.83447	1.24306E-08
33.00729	1.24103E-08
33.18010	1.23890E-08
33.35291	1.23667E-08
33.52573	1.23435E-08
33.69854	1.23196E-08
33.87135	1.22950E-08
34.04417	1.22697E-08
34.21698	1.22438E-08
34.38979	1.22175E-08
34.56260	1.21908E-08
34.73542	1.21638E-08
34.90823	1.21364E-08
35.08104	1.21090E-08
35.25386	1.20815E-08
35.42667	1.20540E-08
35.59948	1.20266E-08
35.77230	1.19992E-08
35.94511	1.19721E-08
36.11792	1.19453E-08
36.29073	1.19189E-08
36.46355	1.18929E-08
36.63636	1.18674E-08
36.80917	1.18423E-08
36.98199	1.18179E-08
37.15480	1.17941E-08
37.32761	1.17710E-08
37.50043	1.17486E-08
37.67324	1.17270E-08
37.84605	1.17062E-08
38.01886	1.16862E-08
38.19168	1.16671E-08
38.36449	1.16488E-08
38.53730	1.16315E-08
38.71012	1.16151E-08
38.88293	1.15997E-08
39.05574	1.15852E-08
39.22856	1.15716E-08
39.40137	1.15590E-08
39.57418	1.15474E-08
39.74699	1.15367E-08
39.91981	1.15270E-08
40.09262	1.15182E-08
40.26543	1.15104E-08
40.43825	1.15034E-08
40.61106	1.14973E-08
40.78387	1.14922E-08
40.95669	1.14878E-08
41.12950	1.14843E-08
41.30231	1.14816E-08
41.47513	1.14797E-08
41.64794	1.14785E-08
41.82075	1.14780E-08
41.99356	1.14782E-08
42.16638	1.14790E-08
42.33919	1.14803E-08
42.51200	1.14822E-08
42.68482	1.14847E-08
42.85763	1.14875E-08
43.03044	1.14908E-08
43.20326	1.14945E-08
43.37607	1.14985E-08
43.54888	1.15028E-08
43.72169	1.15073E-08
43.89451	1.15119E-08
44.06732	1.15168E-08
44.24013	1.15217E-08
44.41295	1.15268E-08
44.58576	1.15319E-08
44.75857	1.15369E-08
44.93139	1.15419E-08
45.10420	1.15468E-08
45.27701	1.15516E-08
45.44982	1.15562E-08
45.62264	1.15607E-08
45.79545	1.15648E-08
45.96826	1.15688E-08
46.14108	1.15725E-08
46.31389	1.15759E-08
46.48670	1.15789E-08
46.65952	1.15817E-08
46.83233	1.15840E-08
47.00514	1.15860E-08
47.17795	1.15876E-08
47.35077	1.15889E-08
47.52358	1.15897E-08
47.69639	1.15901E-08
47.86921	1.15901E-08
48.04202	1.15898E-08
48.21483	1.15890E-08
48.38765	1.15878E-08
48.56046	1.15863E-08
48.73327	1.15843E-08
48.90608	1.15821E-08
49.07890	1.15794E-08
49.25171	1.15765E-08
49.42452	1.15732E-08
49.59734	1.15696E-08
49.77015	1.15658E-08
49.94296	1.15616E-08
50.11578	1.15573E-08
50.28859	1.15527E-08
50.46140	1.15480E-08
50.63422	1.15431E-08
50.80703	1.15380E-08
50.97984	1.15328E-08
51.15265	1.15276E-08
51.32547	1.15223E-08
51.49828	1.15170E-08
51.67109	1.15116E-08
51.84391	1.15063E-08
52.01672	1.15010E-08
52.18953	1.14958E-08
52.36235	1.14907E-08
52.53516	1.14857E-08
52.70797	1.14809E-08
52.88078	1.14762E-08
53.05360	1.14717E-08
53.22641	1.14674E-08
53.39922	1.14633E-08
53.57204	1.14595E-08
53.74485	1.14559E-08
53.91766	1.14526E-08
54.09048	1.14496E-08
54.26329	1.14469E-08
54.43610	1.14445E-08
54.60891	1.14424E-08
54.78173	1.14407E-08
54.95454	1.14392E-08
55.12735	1.14381E-08
55.30017	1.14373E-08
55.47298	1.14369E-08
55.64579	1.14368E-08
55.81861	1.14370E-08
55.99142	1.14377E-08
56.16423	1.14385E-08
56.33704	1.14398E-08
56.50986	1.14413E-08
56.68267	1.14432E-08
56.85548	1.14453E-08
57.02830	1.14478E-08
57.20111	1.14505E-08
57.37392	1.14534E-08
57.54674	1.14566E-08
57.71955	1.14601E-08
57.89236	1.14637E-08
58.06517	1.14675E-08
58.23799	1.14715E-08
58.41080	1.14756E-08
58.58361	1.14799E-08
58.75643	1.14843E-08
58.92924	1.14888E-08
59.10205	1.14933E-08
59.27487	1.14979E-08
59.44768	1.15025E-08
59.62049	1.15072E-08
59.79331	1.15118E-08
59.96612	1.15163E-08
60.13893	1.15209E-08
60.31174	1.15253E-08
60.48456	1.15297E-08
60.65737	1.15339E-08
60.83018	1.15380E-08
61.00300	1.15419E-08
61.17581	1.15458E-08
61.34862	1.15494E-08
61.52144	1.15529E-08
61.69425	1.15560E-08
61.86706	1.15591E-08
62.03987	1.15618E-08
62.21269	1.15644E-08
62.38550	1.15667E-08
62.55831	1.15688E-08
62.73113	1.15706E-08
62.90394	1.15721E-08
63.07675	1.15733E-08
63.24957	1.15744E-08
63.42238	1.15751E-08
63.59519	1.15757E-08
63.76800	1.15759E-08
63.94082	1.15758E-08
64.11363	1.15755E-08
64.28644	1.15750E-08
64.45926	1.15743E-08
64.63207	1.15733E-08
64.80488	1.15720E-08
64.97770	1.15706E-08
65.15051	1.15690E-08
65.32332	1.15672E-08
65.49613	1.15652E-08
65.66895	1.15631E-08
65.84176	1.15608E-08
66.01457	1.15583E-08
66.18739	1.15558E-08
66.36020	1.15531E-08
66.53301	1.15504E-08
66.70583	1.15475E-08
66.87864	1.15447E-08
67.05145	1.15417E-08
67.22426	1.15388E-08
67.39708	1.15358E-08
67.56989	1.15328E-08
67.74270	1.15298E-08
67.91552	1.15269E-08
68.08833	1.15240E-08
68.26114	1.15211E-08
68.43396	1.15183E-08
68.60677	1.15156E-08
68.77958	1.15129E-08
68.95240	1.15103E-08
69.12521	1.15078E-08
69.29802	1.15055E-08
69.47083	1.15033E-08
69.64365	1.15012E-08
69.81646	1.14992E-08
69.98927	1.14974E-08
70.16209	1.14957E-08
70.33490	1.14942E-08
70.50771	1.14928E-08
70.68053	1.14916E-08
70.85334	1.14905E-08
71.02615	1.14895E-08
71.19896	1.14887E-08
71.37178	1.14881E-08
71.54459	1.14875E-08
71.71740	1.14872E-08
71.89022	1.14869E-08
72.06303	1.14868E-08
72.23584	1.14869E-08
72.40866	1.14870E-08
72.58147	1.14872E-08
72.75428	1.14875E-08
72.92709	1.14880E-08
73.09991	1.14884E-08
73.27272	1.14890E-08
73.44553	1.14896E-08
73.61835	1.14903E-08
73.79116	1.14909E-08
73.96397	1.14916E-08
74.13679	1.14923E-08
74.30960	1.14930E-08
74.48241	1.14938E-08
74.65522	1.14944E-08
74.82804	1.14950E-08
75.00085	1.14956E-08
75.17366	1.14961E-08
75.34648	1.14965E-08
75.51929	1.14969E-08
75.69210	1.14971E-08
75.86492	1.14972E-08
76.03773	1.14972E-08
76.21054	1.14971E-08
76.38335	1.14968E-08
76.55617	1.14963E-08
76.72898	1.14958E-08
76.90179	1.14950E-08
77.07461	1.14940E-08
77.24742	1.14929E-08
77.42023	1.14916E-08
77.59305	1.14901E-08
77.76586	1.14884E-08
77.93867	1.14865E-08
78.11149	1.14844E-08
78.28430	1.14821E-08
78.45711	1.14796E-08
78.62992	1.14769E-08
78.80274	1.14740E-08
78.97555	1.14709E-08
79.14836	1.14676E-08
79.32118	1.14641E-08
79.49399	1.14605E-08
79.66680	1.14566E-08
79.83962	1.14526E-08
80.01243	1.14483E-08
80.18524	1.14440E-08
80.35805	1.14395E-08
80.53087	1.14348E-08
80.70368	1.14300E-08
80.87649	1.14251E-08
81.04931	1.14201E-08
81.22212	1.14149E-08
81.39493	1.14096E-08
81.56775	1.14043E-08
81.74056	1.13988E-08
81.91337	1.13933E-08
82.08618	1.13877E-08
82.25900	1.13821E-08
82.43181	1.13765E-08
82.60462	1.13707E-08
82.77744	1.13650E-08
82.95025	1.13593E-08
83.12306	1.13535E-08
83.29588	1.13478E-08
83.46869	1.13421E-08
83.64150	1.13364E-08
83.81431	1.13307E-08
83.98713	1.13250E-08
84.15994	1.13195E-08
84.33275	1.13139E-08
84.50557	1.13084E-08
84.67838	1.13029E-08
84.85119	1.12976E-08
85.02401	1.12923E-08
85.19682	1.12869E-08
85.36963	1.12818E-08
85.54244	1.12766E-08
85.71526	1.12716E-08
85.88807	1.12666E-08
86.06088	1.12616E-08
86.23370	1.12567E-08
86.40651	1.12520E-08
86.57932	1.12472E-08
86.75214	1.12425E-08
86.92495	1.12379E-08
87.09776	1.12333E-08
87.27058	1.12288E-08
87.44339	1.12243E-08
87.61620	1.12198E-08
87.78901	1.12154E-08
87.96183	1.12110E-08
88.13464	1.12066E-08
88.30745	1.12022E-08
88.48027	1.11979E-08
88.65308	1.11934E-08
88.82589	1.11891E-08
88.99871	1.11846E-08
89.17152	1.11801E-08
89.34433	1.11756E-08
89.51714	1.11710E-08
89.68996	1.11663E-08
89.86277	1.11617E-08
90.03558	1.11569E-08
90.20840	1.11520E-08
90.38121	1.11470E-08
90.55402	1.11420E-08
90.72684	1.11368E-08
90.89965	1.11315E-08
91.07246	1.11261E-08
91.24527	1.11206E-08
91.41809	1.11149E-08
91.59090	1.11091E-08
91.76371	1.11031E-08
91.93653	1.10971E-08
92.10934	1.10908E-08
92.28215	1.10843E-08
92.45497	1.10778E-08
92.62778	1.10710E-08
92.80059	1.10641E-08
92.97340	1.10571E-08
93.14622	1.10498E-08
93.31903	1.10424E-08
93.49184	1.10349E-08
93.66466	1.10272E-08
93.83747	1.10193E-08
94.01028	1.10113E-08
94.18310	1.10032E-08
94.35591	1.09948E-08
94.52872	1.09864E-08
94.70153	1.09778E-08
94.87435	1.09691E-08
