Wavenumber	NESR 0.53 cm-1
1019.53296	3.90331E-08
1019.65741	3.90083E-08
1019.78186	3.89745E-08
1019.90631	3.89318E-08
1020.03076	3.88804E-08
1020.15521	3.88204E-08
1020.27966	3.87520E-08
1020.40411	3.86755E-08
1020.52863	3.85910E-08
1020.65308	3.84990E-08
1020.77753	3.83996E-08
1020.90198	3.82932E-08
1021.02643	3.81802E-08
1021.15088	3.80608E-08
1021.27533	3.79356E-08
1021.39978	3.78048E-08
1021.52423	3.76688E-08
1021.64868	3.75279E-08
1021.77313	3.73826E-08
1021.89758	3.72332E-08
1022.02203	3.70799E-08
1022.14648	3.69232E-08
1022.27094	3.67634E-08
1022.39545	3.66008E-08
1022.51990	3.64356E-08
1022.64435	3.62682E-08
1022.76880	3.60989E-08
1022.89325	3.59278E-08
1023.01770	3.57551E-08
1023.14215	3.55812E-08
1023.26660	3.54062E-08
1023.39105	3.52301E-08
1023.51550	3.50534E-08
1023.63995	3.48761E-08
1023.76440	3.46984E-08
1023.88886	3.45204E-08
1024.01331	3.43422E-08
1024.13782	3.41640E-08
1024.26221	3.39858E-08
1024.38672	3.38078E-08
1024.51111	3.36300E-08
1024.63562	3.34525E-08
1024.76001	3.32754E-08
1024.88452	3.30987E-08
1025.00891	3.29226E-08
1025.13342	3.27470E-08
1025.25794	3.25720E-08
1025.38232	3.23977E-08
1025.50684	3.22240E-08
1025.63123	3.20511E-08
1025.75574	3.18790E-08
1025.88013	3.17077E-08
1026.00464	3.15373E-08
1026.12903	3.13676E-08
1026.25354	3.11988E-08
1026.37793	3.10310E-08
1026.50244	3.08640E-08
1026.62683	3.06980E-08
1026.75134	3.05329E-08
1026.87573	3.03687E-08
1027.00024	3.02056E-08
1027.12476	3.00434E-08
1027.24915	2.98822E-08
1027.37366	2.97220E-08
1027.49805	2.95628E-08
1027.62256	2.94047E-08
1027.74695	2.92476E-08
1027.87146	2.90915E-08
1027.99585	2.89364E-08
1028.12036	2.87824E-08
1028.24475	2.86294E-08
1028.36926	2.84774E-08
1028.49365	2.83265E-08
1028.61816	2.81767E-08
1028.74255	2.80279E-08
1028.86707	2.78801E-08
1028.99158	2.77334E-08
1029.11597	2.75877E-08
1029.24048	2.74431E-08
1029.36487	2.72995E-08
1029.48938	2.71570E-08
1029.61377	2.70155E-08
1029.73828	2.68751E-08
1029.86267	2.67357E-08
1029.98718	2.65974E-08
1030.11157	2.64600E-08
1030.23608	2.63237E-08
1030.36047	2.61885E-08
1030.48499	2.60542E-08
1030.60938	2.59209E-08
1030.73389	2.57887E-08
1030.85828	2.56575E-08
1030.98279	2.55273E-08
1031.10730	2.53980E-08
1031.23169	2.52698E-08
1031.35620	2.51425E-08
1031.48059	2.50163E-08
1031.60510	2.48909E-08
1031.72949	2.47666E-08
1031.85400	2.46432E-08
1031.97839	2.45208E-08
1032.10291	2.43992E-08
1032.22730	2.42786E-08
1032.35181	2.41590E-08
1032.47620	2.40403E-08
1032.60071	2.39224E-08
1032.72510	2.38055E-08
1032.84961	2.36894E-08
1032.97412	2.35743E-08
1033.09851	2.34600E-08
1033.22302	2.33465E-08
1033.34741	2.32340E-08
1033.47192	2.31222E-08
1033.59631	2.30113E-08
1033.72083	2.29013E-08
1033.84522	2.27920E-08
1033.96973	2.26835E-08
1034.09412	2.25759E-08
1034.21863	2.24690E-08
1034.34302	2.23629E-08
1034.46753	2.22575E-08
1034.59192	2.21529E-08
1034.71643	2.20491E-08
1034.84094	2.19460E-08
1034.96533	2.18436E-08
1035.08984	2.17419E-08
1035.21423	2.16410E-08
1035.33875	2.15407E-08
1035.46314	2.14411E-08
1035.58765	2.13422E-08
1035.71204	2.12439E-08
1035.83655	2.11463E-08
1035.96094	2.10494E-08
1036.08545	2.09530E-08
1036.20984	2.08573E-08
1036.33435	2.07622E-08
1036.45874	2.06677E-08
1036.58325	2.05738E-08
1036.70776	2.04805E-08
1036.83215	2.03878E-08
1036.95667	2.02956E-08
1037.08106	2.02040E-08
1037.20557	2.01130E-08
1037.32996	2.00225E-08
1037.45447	1.99325E-08
1037.57886	1.98431E-08
1037.70337	1.97541E-08
1037.82776	1.96657E-08
1037.95227	1.95778E-08
1038.07666	1.94904E-08
1038.20117	1.94034E-08
1038.32556	1.93169E-08
1038.45007	1.92309E-08
1038.57459	1.91454E-08
1038.69898	1.90603E-08
1038.82349	1.89757E-08
1038.94788	1.88915E-08
1039.07239	1.88078E-08
1039.19678	1.87245E-08
1039.32129	1.86416E-08
1039.44568	1.85592E-08
1039.57019	1.84771E-08
1039.69458	1.83955E-08
1039.81909	1.83143E-08
1039.94348	1.82335E-08
1040.06799	1.81531E-08
1040.19238	1.80731E-08
1040.31690	1.79935E-08
1040.44141	1.79142E-08
1040.56580	1.78354E-08
1040.69031	1.77569E-08
1040.81470	1.76788E-08
1040.93921	1.76011E-08
1041.06360	1.75238E-08
1041.18811	1.74468E-08
1041.31250	1.73702E-08
1041.43701	1.72940E-08
1041.56140	1.72181E-08
1041.68591	1.71426E-08
1041.81030	1.70674E-08
1041.93481	1.69926E-08
1042.05920	1.69182E-08
1042.18372	1.68441E-08
1042.30823	1.67704E-08
1042.43262	1.66970E-08
1042.55713	1.66240E-08
1042.68152	1.65513E-08
1042.80603	1.64790E-08
1042.93042	1.64070E-08
1043.05493	1.63354E-08
1043.17932	1.62641E-08
1043.30383	1.61932E-08
1043.42822	1.61226E-08
1043.55273	1.60524E-08
1043.67712	1.59825E-08
1043.80164	1.59130E-08
1043.92603	1.58438E-08
1044.05054	1.57750E-08
1044.17505	1.57065E-08
1044.29944	1.56383E-08
1044.42395	1.55705E-08
1044.54834	1.55031E-08
1044.67285	1.54360E-08
1044.79724	1.53693E-08
1044.92175	1.53029E-08
1045.04614	1.52368E-08
1045.17065	1.51711E-08
1045.29504	1.51058E-08
1045.41956	1.50408E-08
1045.54395	1.49762E-08
1045.66846	1.49119E-08
1045.79285	1.48480E-08
1045.91736	1.47844E-08
1046.04187	1.47211E-08
1046.16626	1.46583E-08
1046.29077	1.45957E-08
1046.41516	1.45336E-08
1046.53967	1.44717E-08
1046.66406	1.44103E-08
1046.78857	1.43491E-08
1046.91296	1.42884E-08
1047.03748	1.42280E-08
1047.16187	1.41679E-08
1047.28638	1.41082E-08
1047.41077	1.40488E-08
1047.53528	1.39898E-08
1047.65967	1.39311E-08
1047.78418	1.38728E-08
1047.90869	1.38148E-08
1048.03308	1.37571E-08
1048.15759	1.36998E-08
1048.28198	1.36429E-08
1048.40649	1.35862E-08
1048.53088	1.35300E-08
1048.65540	1.34741E-08
1048.77979	1.34185E-08
1048.90430	1.33632E-08
1049.02869	1.33083E-08
1049.15320	1.32537E-08
1049.27759	1.31995E-08
1049.40210	1.31456E-08
1049.52649	1.30920E-08
1049.65100	1.30387E-08
1049.77551	1.29858E-08
1049.89990	1.29332E-08
1050.02441	1.28809E-08
1050.14880	1.28289E-08
1050.27332	1.27773E-08
1050.39771	1.27259E-08
1050.52222	1.26749E-08
1050.64661	1.26242E-08
1050.77112	1.25738E-08
1050.89551	1.25238E-08
1051.02002	1.24740E-08
1051.14441	1.24245E-08
1051.26892	1.23753E-08
1051.39331	1.23265E-08
